scenarioId,app,build,schema,sampleIndex,readyToInputMs,inputToCandidateMs,commitMs,firstCandidateText,committedValue,wasmReadyBytes,wasmPeakBytes,resourceTransferBytes,resourceUniqueEncodedBytes,storageUsageBytes,workerUrls,consoleErrors
yune-tracked,yune-web,tracked-dist,luna_pinyin,0,1165,84,13,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,1,1184,69,118,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,2,1215,68,115,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,3,1155,88,114,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,4,1187,82,120,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,5,1196,74,107,你,你,167772160,167772160,36602791,36593791,15883,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,luna_pinyin,6,1174,86,120,你,你,167772160,167772160,36602791,36593791,15881,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-tracked,yune-web,tracked-dist,jyutping,0,5835,122,106,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,1,5825,104,118,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,2,5816,96,107,你,你,936509440,936509440,33387684,33375384,23914,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,3,5785,94,108,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,4,5797,93,106,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,5,5836,99,118,你,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-tracked,yune-web,tracked-dist,jyutping,6,5840,109,116,呢,你,936509440,936509440,33387696,33375396,23914,http://127.0.0.1:58228/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,0,1247,60,115,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,1,1240,70,119,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,2,1201,62,106,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,3,1261,71,118,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,4,1247,83,107,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,5,1255,67,109,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,luna_pinyin,6,1268,67,115,你,你,167772160,167772160,36861849,36604697,33180435,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=luna_pinyin,
yune-public-demo,yune-web,public-demo-dist,jyutping,0,5881,120,121,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,1,5779,100,118,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,2,5845,106,105,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,3,5914,109,117,呢,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,4,5768,109,119,你,你,936509440,936509440,33736882,33386302,29983088,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,5,5881,100,120,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,6,5865,100,122,你,你,936509440,936509440,33736882,33386302,29983090,http://127.0.0.1:58229/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,0,716,94,119,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,1,582,100,111,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,2,636,81,122,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,3,553,99,110,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,4,549,101,114,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,5,580,82,122,你,你,16777216,16777216,8951281,8946481,16062666,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,6,611,94,120,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,0,931,98,125,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,1,914,93,125,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,2,993,87,124,我,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
