build,family,assetFamily,encodedBytes
tracked-dist,luna-core,extras,794164
tracked-dist,luna-core,wasm-runtime,2666881
tracked-dist,luna-core,jyutping-core,181
tracked-dist,luna-core,luna-core,33066157
tracked-dist,luna-core,opencc,66408
public-demo-dist,luna-core,extras,805070
public-demo-dist,luna-core,wasm-runtime,2666881
public-demo-dist,luna-core,jyutping-core,181
public-demo-dist,luna-core,luna-core,33066157
public-demo-dist,luna-core,opencc,66408
tracked-dist,jyutping-core,extras,801737
tracked-dist,jyutping-core,wasm-runtime,2666881
tracked-dist,jyutping-core,jyutping-core,8107312
public-demo-dist,jyutping-core,extras,812643
public-demo-dist,jyutping-core,wasm-runtime,2666881
public-demo-dist,jyutping-core,jyutping-core,8107312
tracked-dist,jyutping-scolar,extras,801737
tracked-dist,jyutping-scolar,wasm-runtime,2666881
tracked-dist,jyutping-scolar,jyutping-core,8107312
tracked-dist,jyutping-scolar,jyutping-scolar,19155621
public-demo-dist,jyutping-scolar,extras,812643
public-demo-dist,jyutping-scolar,wasm-runtime,2666881
public-demo-dist,jyutping-scolar,jyutping-core,8107312
public-demo-dist,jyutping-scolar,jyutping-scolar,19155621
tracked-dist,reverse-lookup,extras,801737
tracked-dist,reverse-lookup,wasm-runtime,2666881
tracked-dist,reverse-lookup,jyutping-core,8107312
tracked-dist,reverse-lookup,reverse-lookup,2573528
public-demo-dist,reverse-lookup,extras,812643
public-demo-dist,reverse-lookup,wasm-runtime,2666881
public-demo-dist,reverse-lookup,jyutping-core,8107312
public-demo-dist,reverse-lookup,reverse-lookup,2573528
tracked-dist,opencc,extras,801737
tracked-dist,opencc,wasm-runtime,2666881
tracked-dist,opencc,jyutping-core,8107312
tracked-dist,opencc,opencc,70317
public-demo-dist,opencc,extras,812643
public-demo-dist,opencc,wasm-runtime,2666881
public-demo-dist,opencc,jyutping-core,8107312
public-demo-dist,opencc,opencc,70317
tracked-dist,extras,extras,801737
tracked-dist,extras,wasm-runtime,2666881
tracked-dist,extras,jyutping-core,3478723
public-demo-dist,extras,extras,812643
public-demo-dist,extras,wasm-runtime,2666881
public-demo-dist,extras,jyutping-core,3478723
tracked-dist,full-jyutping,extras,801737
tracked-dist,full-jyutping,wasm-runtime,2666881
tracked-dist,full-jyutping,jyutping-core,8107312
tracked-dist,full-jyutping,jyutping-scolar,19155621
tracked-dist,full-jyutping,reverse-lookup,2573528
tracked-dist,full-jyutping,opencc,70317
public-demo-dist,full-jyutping,extras,812643
public-demo-dist,full-jyutping,wasm-runtime,2666881
public-demo-dist,full-jyutping,jyutping-core,8107312
public-demo-dist,full-jyutping,jyutping-scolar,19155621
public-demo-dist,full-jyutping,reverse-lookup,2573528
public-demo-dist,full-jyutping,opencc,70317
