scenarioId,sampleIndex,schema,appSchema,mode,publicDemo,readyToInputMs,startupCompleteMs,cacheHits,cacheMisses,cacheErrors,transferBytes,encodedBytes,wasmHeapBytes,peakWasmHeapBytes,wasmMemoryMarkerCount,firstKeyMedianMs,firstKeyP95Ms,firstKeyPeakWasmHeapBytes
tracked-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,false,1216,589,0,0,0,36594991,36593791,167772160,167772160,12,28,114,167772160
tracked-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,false,1208,610,0,0,0,36594991,36593791,167772160,167772160,12,38,133,167772160
tracked-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,false,1180,580,0,0,0,36594968,36593768,167772160,167772160,12,43,137,167772160
tracked-luna-warm-reload,0,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,637,568,0,0,0,0,36875347,167772160,167772160,12,38,132,167772160
tracked-luna-warm-reload,1,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,598,537,0,0,0,0,39902678,167772160,167772160,12,40,134,167772160
tracked-luna-warm-reload,2,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,598,539,0,0,0,0,36875347,167772160,167772160,12,38,117,167772160
tracked-luna-warm-new-page,0,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,663,556,0,0,0,0,36593791,167772160,167772160,12,39,118,167772160
tracked-luna-warm-new-page,1,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,653,550,0,0,0,0,36593791,167772160,167772160,12,49,113,167772160
tracked-luna-warm-new-page,2,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,650,538,0,0,0,0,36593791,167772160,167772160,12,37,116,167772160
tracked-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,5950,5356,0,0,0,33359094,33357894,936509440,936509440,12,47,142,936509440
tracked-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,5990,5384,0,0,0,33359094,33357894,936509440,936509440,12,30,62,936509440
tracked-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,5995,5398,0,0,0,33359106,33357906,936509440,936509440,12,49,169,936509440
tracked-jyut-warm-reload,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5348,5280,0,0,0,0,36666793,936509440,936509440,12,50,101,936509440
tracked-jyut-warm-reload,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5317,5263,0,0,0,0,36666793,936509440,936509440,12,51,120,936509440
tracked-jyut-warm-reload,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5316,5240,0,0,0,0,36666793,936509440,936509440,12,44,132,936509440
tracked-jyut-warm-new-page,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5654,5554,0,0,0,0,33357906,936509440,936509440,12,46,138,936509440
tracked-jyut-warm-new-page,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5403,5298,0,0,0,0,33357906,936509440,936509440,12,48,148,936509440
tracked-jyut-warm-new-page,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5253,5148,0,0,0,0,33357906,936509440,936509440,12,43,76,936509440
tracked-mock-cold,0,luna_pinyin,luna_pinyin,mock-worker-cold,false,609,0,0,0,0,747840,746640,0,0,0,24,24,0
tracked-mock-cold,1,luna_pinyin,luna_pinyin,mock-worker-cold,false,590,0,0,0,0,747840,746640,0,0,0,28,28,0
tracked-mock-cold,2,luna_pinyin,luna_pinyin,mock-worker-cold,false,592,0,0,0,0,747840,746640,0,0,0,25,25,0
tracked-mock-warm,0,luna_pinyin,luna_pinyin,mock-worker-warm,false,379,0,0,0,0,747840,746640,0,0,0,26,26,0
tracked-mock-warm,1,luna_pinyin,luna_pinyin,mock-worker-warm,false,386,0,0,0,0,747840,746640,0,0,0,11,11,0
tracked-mock-warm,2,luna_pinyin,luna_pinyin,mock-worker-warm,false,379,0,0,0,0,747840,746640,0,0,0,27,27,0
public-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,true,1214,614,2,24,0,36594931,36593731,167772160,167772160,12,37,132,167772160
public-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,true,1249,643,2,24,0,36594931,36593731,167772160,167772160,12,39,118,167772160
public-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,true,1238,635,2,24,0,36594931,36593731,167772160,167772160,12,29,113,167772160
public-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5942,5344,1,35,0,33359046,33357846,936509440,936509440,12,39,56,936509440
public-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5786,5183,1,35,0,33359046,33357846,936509440,936509440,12,46,126,936509440
public-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5859,5214,1,35,0,33359046,33357846,936509440,936509440,12,46,85,936509440
