dimension,workload,input,yune_median_us,librime_median_us,ratio_yune_over_librime,yune_peak_working_set_mb,librime_peak_working_set_mb,status
startup,startup_warm_shared_assets_runtime_ready,,22451.900,22865.800,0.982,188.3,13.4,faster_or_equal
session,session_create_select_destroy,,23116.500,23182.400,0.997,188.3,13.6,faster_or_equal
n,key_sequence_process_with_context,n,62.400,20.300,3.074,188.3,13.6,blocker
ni,key_sequence_process_with_context,ni,46.250,14.150,3.269,188.3,13.9,blocker
hao,key_sequence_process_with_context,hao,26.300,11.700,2.248,188.3,13.9,pass
zhongguo,key_sequence_process_with_context,zhongguo,47.475,168.088,0.282,188.3,13.9,faster_or_equal
37-char pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,894.400,289.043,3.094,188.3,16.1,blocker
59-char pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,1543.742,677.066,2.280,188.3,17.3,pass
abbr 10-char,key_sequence_process_with_context,cszysmsrsd,552.300,1228.450,0.450,188.3,17.3,faster_or_equal
abbr 8-char,key_sequence_process_with_context,zybfshmsru,574.120,865.690,0.663,188.3,17.6,faster_or_equal
