schema,input,exact_keydown_to_paint_ms,max_keydown_to_paint_ms,sum_worker_process_ms,first_candidate_text,wasm_heap_mib,wasm_peak_mib
luna_pinyin,hao,40,40,6,好,64.0,64.0
luna_pinyin,ni,22,22,0,你,64.0,64.0
luna_pinyin,zhongguo,19,30,2,中國大陸,64.0,64.0
luna_pinyin,ceshiyixiachangjushuruxingnengzenyang,43,45,8,測是一下長據書如行能怎樣,64.0,64.0
luna_pinyin,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,75,78,16,這個因請其是應該之喫差哦長據子書如才能用,64.0,64.0
luna_pinyin,cszysmsrsd,26,29,7,placeholder row,64.0,64.0
luna_pinyin,zybfshmsru,34,47,1,placeholder row,64.0,64.0
jyut6ping3_mobile,hai,47,47,7,係,160.0,160.0
jyut6ping3_mobile,ngo,23,24,2,我,160.0,160.0
jyut6ping3_mobile,caksi,89,90,60,測時,160.0,160.0
jyut6ping3_mobile,ngogokdak,22,33,4,我覺得,160.0,160.0
jyut6ping3_mobile,sihaacoenggeoisyujapgecukdou,130,136,93,試下場據輸入嘅速都,160.0,160.0
jyut6ping3_mobile,taihaajyugwodaahoucoenggegeoizigosingnangwuidimjoeng,74,74,12,睇下如果打好場嘅據自個責會點樣,160.0,160.0
