engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,0,1,75034.500,75034.500,14614528,19427328,18833408,21008384
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,1,1,31494.000,31494.000,18960384,19898368,19038208,22327296
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,2,1,29950.000,29950.000,19038208,19914752,19042304,22392832
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,3,1,30315.200,30315.200,19042304,19972096,19083264,22392832
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,4,1,30090.700,30090.700,19083264,19918848,19070976,22392832
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,5,1,31330.600,31330.600,19079168,19931136,19034112,22392832
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,6,1,30227.200,30227.200,19034112,19943424,19095552,22401024
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,7,1,31249.800,31249.800,19095552,19947520,19132416,22401024
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,8,1,29340.600,29340.600,19132416,19951616,19116032,22421504
librime-1.17.0,session_create_select_destroy,,0,1,29779.500,29779.500,19165184,19320832,0,22458368
librime-1.17.0,session_create_select_destroy,,1,1,28234.100,28234.100,19320832,19312640,0,22466560
librime-1.17.0,session_create_select_destroy,,2,1,30889.900,30889.900,19312640,19308544,0,22470656
librime-1.17.0,session_create_select_destroy,,3,1,27290.400,27290.400,19308544,19304448,0,22470656
librime-1.17.0,session_create_select_destroy,,4,1,28121.800,28121.800,19304448,19357696,0,22470656
librime-1.17.0,session_create_select_destroy,,5,1,27864.200,27864.200,19357696,19341312,0,22495232
librime-1.17.0,session_create_select_destroy,,6,1,27613.600,27613.600,19341312,19361792,0,22495232
librime-1.17.0,session_create_select_destroy,,7,1,28049.800,28049.800,19361792,19374080,0,22495232
librime-1.17.0,session_create_select_destroy,,8,1,28382.200,28382.200,19382272,19369984,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,0,2,29.100,14.550,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,1,2,29.400,14.700,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,2,2,28.700,14.350,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,3,2,28.500,14.250,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,4,2,28.900,14.450,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,5,2,28.600,14.300,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,6,2,28.500,14.250,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,7,2,28.500,14.250,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,8,2,71.900,35.950,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,9,2,58.500,29.250,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,10,2,32.900,16.450,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,11,2,30.300,15.150,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,12,2,29.100,14.550,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,13,2,28.800,14.400,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,14,2,28.700,14.350,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,15,2,28.600,14.300,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,16,2,28.700,14.350,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,17,2,28.600,14.300,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,18,2,28.800,14.400,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,19,2,28.600,14.300,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,20,2,28.300,14.150,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,21,2,28.400,14.200,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,22,2,28.500,14.250,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,23,2,28.200,14.100,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,ni,24,2,28.200,14.100,20475904,20475904,0,22495232
librime-1.17.0,key_sequence_process_with_context,hao,0,3,36.100,12.033,20295680,20295680,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,1,3,35.900,11.967,20295680,20295680,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,2,3,35.400,11.800,20295680,20295680,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,3,3,35.400,11.800,20303872,20303872,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,4,3,35.300,11.767,20303872,20303872,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,5,3,35.700,11.900,20303872,20303872,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,6,3,35.500,11.833,20303872,20303872,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,7,3,34.900,11.633,20303872,20303872,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,8,3,34.900,11.633,20303872,20303872,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,9,3,34.700,11.567,20303872,20303872,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,10,3,34.700,11.567,20303872,20303872,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,11,3,35.000,11.667,20303872,20303872,0,22507520
librime-1.17.0,key_sequence_process_with_context,hao,12,3,35.200,11.733,20303872,20303872,0,22507520
