engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,startup_warm_shared_assets_runtime_ready,,0,1,885728.100,885728.100,14618624,170090496,170098688,182333440
yune,startup_warm_shared_assets_runtime_ready,,1,1,45417.900,45417.900,170225664,170307584,170307584,182333440
yune,startup_warm_shared_assets_runtime_ready,,2,1,45234.000,45234.000,170307584,170332160,170332160,182333440
yune,startup_warm_shared_assets_runtime_ready,,3,1,45430.100,45430.100,170332160,170352640,170352640,182333440
yune,startup_warm_shared_assets_runtime_ready,,4,1,47439.900,47439.900,170352640,170352640,170352640,182333440
yune,startup_warm_shared_assets_runtime_ready,,5,1,48839.100,48839.100,170352640,170385408,170385408,182333440
yune,startup_warm_shared_assets_runtime_ready,,6,1,52727.200,52727.200,170393600,170393600,170393600,182333440
yune,startup_warm_shared_assets_runtime_ready,,7,1,47126.800,47126.800,170393600,170393600,170393600,182333440
yune,startup_warm_shared_assets_runtime_ready,,8,1,46963.100,46963.100,170393600,170393600,170393600,182333440
yune,session_create_select_destroy,,0,1,47556.600,47556.600,170442752,170442752,0,182333440
yune,session_create_select_destroy,,1,1,46689.200,46689.200,170442752,170463232,0,182333440
yune,session_create_select_destroy,,2,1,46743.400,46743.400,170463232,170463232,0,182333440
yune,session_create_select_destroy,,3,1,51333.100,51333.100,170463232,170463232,0,182333440
yune,session_create_select_destroy,,4,1,49747.100,49747.100,170463232,170463232,0,182333440
yune,session_create_select_destroy,,5,1,47013.400,47013.400,170463232,170504192,0,182333440
yune,session_create_select_destroy,,6,1,46240.000,46240.000,170504192,170504192,0,182333440
yune,session_create_select_destroy,,7,1,46081.700,46081.700,170504192,170504192,0,182333440
yune,session_create_select_destroy,,8,1,46127.400,46127.400,170504192,170504192,0,182333440
yune,key_sequence_process_with_context,ni,0,2,5734.800,2867.400,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,1,2,5833.600,2916.800,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,2,2,5715.200,2857.600,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,3,2,5693.600,2846.800,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,4,2,5674.600,2837.300,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,5,2,5733.900,2866.950,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,6,2,5734.800,2867.400,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,7,2,5737.700,2868.850,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,8,2,5702.000,2851.000,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,9,2,5688.100,2844.050,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,10,2,5697.900,2848.950,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,11,2,5822.400,2911.200,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,12,2,5671.300,2835.650,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,13,2,5710.400,2855.200,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,14,2,5651.600,2825.800,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,15,2,5696.600,2848.300,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,16,2,5693.900,2846.950,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,17,2,5687.000,2843.500,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,18,2,5699.700,2849.850,171438080,171438080,0,182333440
yune,key_sequence_process_with_context,ni,19,2,5674.200,2837.100,171438080,171438080,0,182333440
