"engine","workload","input","iterations","operation_count_per_sample","median_us","p95_us","min_us","max_us","median_us_per_operation","p95_us_per_operation","median_after_ready_working_set_bytes","median_ready_delta_bytes","median_peak_working_set_bytes"
"yune","key_sequence_process_with_context","hao","25","3","13336.800","14478.700","11943.700","15180.900","4445.600","4826.233","171974656","851968","182874112"
"yune","key_sequence_process_with_context","ni","25","2","5858.800","6449.600","5716.400","6758.200","2929.400","3224.800","171999232","0","182874112"
"yune","key_sequence_process_with_context","zhongguo","25","8","36451.100","38874.100","33506.200","39046.000","4556.388","4859.263","172036096","0","182874112"
"yune","session_create_select_destroy","","9","1","48329.000","50385.200","46472.400","50385.200","48329.000","50385.200","170897408","0","182874112"
"yune","startup_warm_shared_assets_runtime_ready","","9","1","50065.200","859440.100","46688.800","859440.100","50065.200","859440.100","170786816","24576","182874112"
"librime-1.17.0","key_sequence_process_with_context","hao","25","3","35.200","35.700","34.800","35.700","11.733","11.900","20406272","0","22704128"
"librime-1.17.0","key_sequence_process_with_context","ni","25","2","28.300","29.300","28.000","34.600","14.150","14.650","20455424","0","22560768"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","25","8","1503.400","1562.400","1413.600","1579.500","187.925","195.300","21647360","32768","22704128"
"librime-1.17.0","session_create_select_destroy","","9","1","30778.900","32636.600","28573.400","32636.600","30778.900","32636.600","19406848","32768","22544384"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","9","1","31804.000","91743.700","30595.400","91743.700","31804.000","91743.700","20041728","966656","22499328"
