"engine","workload","input","iterations","operation_count_per_sample","median_us","p95_us","min_us","max_us","median_us_per_operation","p95_us_per_operation","median_after_ready_working_set_bytes","median_ready_delta_bytes","median_peak_working_set_bytes"
"yune","key_sequence_process_with_context","hao","25","3","12547.200","13563.600","11687.600","14194.000","4182.400","4521.200","171585536","0","182444032"
"yune","key_sequence_process_with_context","ni","25","2","5678.500","5711.300","5657.200","5750.500","2839.250","2855.650","171556864","0","182444032"
"yune","key_sequence_process_with_context","zhongguo","25","8","35848.500","38963.100","33415.500","39358.100","4481.063","4870.388","172371968","0","182444032"
"yune","session_create_select_destroy","","9","1","47806.600","51374.300","46605.800","51374.300","47806.600","51374.300","170430464","4096","182444032"
"yune","startup_warm_shared_assets_runtime_ready","","9","1","46516.200","865219.400","45830.400","865219.400","46516.200","865219.400","170229760","40960","182444032"
"librime-1.17.0","key_sequence_process_with_context","hao","25","3","35.400","38.500","34.700","39.000","11.800","12.833","20316160","0","22437888"
"librime-1.17.0","key_sequence_process_with_context","ni","25","2","28.700","33.500","28.300","53.200","14.350","16.750","20246528","0","22351872"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","25","8","1452.800","1488.600","1383.700","1527.200","181.600","186.075","21200896","36864","22437888"
"librime-1.17.0","session_create_select_destroy","","9","1","30977.000","32391.800","25808.500","32391.800","30977.000","32391.800","19091456","69632","22331392"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","9","1","31052.200","88378.400","24766.500","88378.400","31052.200","88378.400","19824640","966656","22241280"
