engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,startup_warm_shared_assets_runtime_ready,,0,1,865219.400,865219.400,14602240,169975808,169984000,182444032
yune,startup_warm_shared_assets_runtime_ready,,1,1,48694.800,48694.800,170110976,170188800,170188800,182444032
yune,startup_warm_shared_assets_runtime_ready,,2,1,47925.100,47925.100,170188800,170188800,170188800,182444032
yune,startup_warm_shared_assets_runtime_ready,,3,1,46516.200,46516.200,170188800,170229760,170229760,182444032
yune,startup_warm_shared_assets_runtime_ready,,4,1,46405.500,46405.500,170229760,170229760,170229760,182444032
yune,startup_warm_shared_assets_runtime_ready,,5,1,45849.700,45849.700,170229760,170246144,170246144,182444032
yune,startup_warm_shared_assets_runtime_ready,,6,1,45830.400,45830.400,170254336,170254336,170254336,182444032
yune,startup_warm_shared_assets_runtime_ready,,7,1,46235.800,46235.800,170254336,170299392,170299392,182444032
yune,startup_warm_shared_assets_runtime_ready,,8,1,49566.200,49566.200,170299392,170344448,170344448,182444032
yune,session_create_select_destroy,,0,1,47037.500,47037.500,170393600,170393600,0,182444032
yune,session_create_select_destroy,,1,1,47487.100,47487.100,170393600,170405888,0,182444032
yune,session_create_select_destroy,,2,1,47512.600,47512.600,170405888,170422272,0,182444032
yune,session_create_select_destroy,,3,1,48567.500,48567.500,170422272,170426368,0,182444032
yune,session_create_select_destroy,,4,1,51374.300,51374.300,170426368,170430464,0,182444032
yune,session_create_select_destroy,,5,1,49739.100,49739.100,170430464,170430464,0,182444032
yune,session_create_select_destroy,,6,1,47806.600,47806.600,170430464,170446848,0,182444032
yune,session_create_select_destroy,,7,1,47823.600,47823.600,170446848,170446848,0,182444032
yune,session_create_select_destroy,,8,1,46605.800,46605.800,170446848,170446848,0,182444032
yune,key_sequence_process_with_context,ni,0,2,5666.000,2833.000,171552768,171556864,0,182444032
yune,key_sequence_process_with_context,ni,1,2,5711.300,2855.650,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,2,2,5687.100,2843.550,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,3,2,5675.400,2837.700,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,4,2,5696.400,2848.200,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,5,2,5680.200,2840.100,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,6,2,5674.500,2837.250,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,7,2,5692.000,2846.000,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,8,2,5657.200,2828.600,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,9,2,5674.200,2837.100,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,10,2,5678.500,2839.250,171556864,171556864,0,182444032
yune,key_sequence_process_with_context,ni,11,2,5681.000,2840.500,171556864,171556864,0,182444032
