engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,0,1,117237.700,117237.700,14598144,19337216,18665472,21012480
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,1,1,45560.200,45560.200,18792448,19775488,18882560,22212608
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,2,1,42093.400,42093.400,18882560,19791872,18853888,22220800
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,3,1,40239.700,40239.700,18853888,19820544,18792448,22241280
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,4,1,40690.800,40690.800,18792448,19824640,18866176,22249472
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,5,1,40516.600,40516.600,18874368,19800064,18857984,22249472
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,6,1,41553.100,41553.100,18857984,19841024,18874368,22253568
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,7,1,42340.300,42340.300,18874368,19808256,18866176,22253568
librime-1.17.0,startup_warm_shared_assets_runtime_ready,,8,1,40040.600,40040.600,18866176,19812352,18825216,22257664
librime-1.17.0,session_create_select_destroy,,0,1,41344.200,41344.200,18874368,18927616,0,22294528
librime-1.17.0,session_create_select_destroy,,1,1,42440.300,42440.300,18927616,19091456,0,22302720
librime-1.17.0,session_create_select_destroy,,2,1,39248.600,39248.600,19091456,18944000,0,22302720
librime-1.17.0,session_create_select_destroy,,3,1,40211.000,40211.000,18944000,19030016,0,22302720
librime-1.17.0,session_create_select_destroy,,4,1,43835.800,43835.800,19030016,19140608,0,22302720
librime-1.17.0,session_create_select_destroy,,5,1,47084.900,47084.900,19140608,18939904,0,22302720
librime-1.17.0,session_create_select_destroy,,6,1,42714.600,42714.600,18939904,19185664,0,22302720
librime-1.17.0,session_create_select_destroy,,7,1,42032.500,42032.500,19185664,19222528,0,22302720
librime-1.17.0,session_create_select_destroy,,8,1,43096.000,43096.000,19230720,19230720,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,0,2,31.700,15.850,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,1,2,30.400,15.200,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,2,2,30.700,15.350,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,3,2,30.200,15.100,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,4,2,31.000,15.500,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,5,2,31.000,15.500,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,6,2,30.300,15.150,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,7,2,29.900,14.950,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,8,2,30.000,15.000,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,9,2,30.200,15.100,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,10,2,30.100,15.050,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,11,2,29.700,14.850,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,12,2,29.800,14.900,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,13,2,29.700,14.850,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,14,2,29.800,14.900,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,15,2,29.700,14.850,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,16,2,29.700,14.850,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,17,2,30.200,15.100,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,18,2,35.100,17.550,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,19,2,29.600,14.800,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,20,2,29.500,14.750,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,21,2,29.700,14.850,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,22,2,29.500,14.750,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,23,2,29.800,14.900,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,ni,24,2,29.400,14.700,20131840,20131840,0,22302720
librime-1.17.0,key_sequence_process_with_context,hao,0,3,37.700,12.567,20160512,20160512,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,1,3,37.300,12.433,20160512,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,2,3,37.500,12.500,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,3,3,36.900,12.300,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,4,3,36.500,12.167,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,5,3,36.900,12.300,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,6,3,37.000,12.333,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,7,3,36.600,12.200,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,8,3,36.200,12.067,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,9,3,36.600,12.200,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,10,3,36.400,12.133,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,11,3,36.400,12.133,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,12,3,36.000,12.000,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,13,3,36.300,12.100,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,14,3,36.300,12.100,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,15,3,36.100,12.033,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,16,3,36.000,12.000,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,17,3,36.100,12.033,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,18,3,36.000,12.000,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,19,3,35.900,11.967,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,20,3,36.100,12.033,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,21,3,42.700,14.233,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,22,3,35.800,11.933,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,23,3,36.300,12.100,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,hao,24,3,36.100,12.033,20168704,20168704,0,22417408
librime-1.17.0,key_sequence_process_with_context,zhongguo,0,8,3155.100,394.388,21147648,20951040,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,1,8,2239.600,279.950,20951040,21147648,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,2,8,2635.000,329.375,21147648,21164032,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,3,8,2883.400,360.425,21164032,21147648,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,4,8,2534.100,316.763,21147648,20959232,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,5,8,2265.200,283.150,20959232,21147648,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,6,8,1731.200,216.400,21147648,21172224,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,7,8,2577.400,322.175,21172224,20955136,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,8,8,2860.400,357.550,20955136,21172224,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,9,8,2273.900,284.238,21172224,21164032,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,10,8,2684.300,335.538,21164032,20963328,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,11,8,2401.900,300.238,20963328,21176320,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,12,8,3043.300,380.413,21176320,21172224,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,13,8,2690.100,336.263,21172224,21172224,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,14,8,2366.700,295.838,21172224,21188608,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,15,8,2172.500,271.563,21188608,21147648,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,16,8,2848.000,356.000,21147648,21168128,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,17,8,2100.400,262.550,21176320,21196800,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,18,8,2502.200,312.775,21196800,21180416,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,19,8,2505.900,313.238,21180416,20963328,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,20,8,3493.600,436.700,20963328,21180416,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,21,8,2467.400,308.425,21180416,21155840,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,22,8,2454.400,306.800,21155840,21151744,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,23,8,2496.100,312.013,21151744,21176320,0,22450176
librime-1.17.0,key_sequence_process_with_context,zhongguo,24,8,2325.900,290.738,21176320,21180416,0,22450176
