"engine","workload","input","iterations","operation_count_per_sample","median_us","p95_us","min_us","max_us","median_us_per_operation","p95_us_per_operation","median_after_ready_working_set_bytes","median_ready_delta_bytes","median_peak_working_set_bytes"
"yune","key_sequence_process_with_context","hao","25","3","15906.800","18549.100","12551.000","18641.900","5302.267","6183.033","171671552","0","182910976"
"yune","key_sequence_process_with_context","ni","25","2","9225.100","9811.900","7425.400","10131.100","4612.550","4905.950","171610112","0","182910976"
"yune","key_sequence_process_with_context","zhongguo","25","8","45608.600","48480.400","40674.400","49371.100","5701.075","6060.050","171548672","0","182910976"
"yune","session_create_select_destroy","","9","1","67119.100","68009.800","61163.500","68009.800","67119.100","68009.800","170422272","0","182910976"
"yune","startup_warm_shared_assets_runtime_ready","","9","1","66709.400","1247752.600","62787.000","1247752.600","66709.400","1247752.600","170246144","8192","182910976"
"librime-1.17.0","key_sequence_process_with_context","hao","25","3","36.300","37.700","35.800","42.700","12.100","12.567","20168704","0","22417408"
"librime-1.17.0","key_sequence_process_with_context","ni","25","2","29.900","31.700","29.400","35.100","14.950","15.850","20131840","0","22302720"
"librime-1.17.0","key_sequence_process_with_context","zhongguo","25","8","2502.200","3155.100","1731.200","3493.600","312.775","394.388","21164032","24576","22450176"
"librime-1.17.0","session_create_select_destroy","","9","1","42440.300","47084.900","39248.600","47084.900","42440.300","47084.900","19091456","86016","22302720"
"librime-1.17.0","startup_warm_shared_assets_runtime_ready","","9","1","41553.100","117237.700","40040.600","117237.700","41553.100","117237.700","19808256","966656","22249472"
