engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,startup_warm_shared_assets_runtime_ready,,0,1,1247752.600,1247752.600,14622720,170037248,170045440,182910976
yune,startup_warm_shared_assets_runtime_ready,,1,1,65008.500,65008.500,170172416,170205184,170205184,182910976
yune,startup_warm_shared_assets_runtime_ready,,2,1,66709.400,66709.400,170205184,170205184,170205184,182910976
yune,startup_warm_shared_assets_runtime_ready,,3,1,68492.300,68492.300,170205184,170205184,170205184,182910976
yune,startup_warm_shared_assets_runtime_ready,,4,1,68678.800,68678.800,170205184,170246144,170246144,182910976
yune,startup_warm_shared_assets_runtime_ready,,5,1,70178.800,70178.800,170246144,170254336,170254336,182910976
yune,startup_warm_shared_assets_runtime_ready,,6,1,66615.300,66615.300,170262528,170295296,170295296,182910976
yune,startup_warm_shared_assets_runtime_ready,,7,1,63084.900,63084.900,170295296,170303488,170303488,182910976
yune,startup_warm_shared_assets_runtime_ready,,8,1,62787.000,62787.000,170303488,170311680,170311680,182910976
yune,session_create_select_destroy,,0,1,67862.700,67862.700,170360832,170381312,0,182910976
yune,session_create_select_destroy,,1,1,61163.500,61163.500,170381312,170385408,0,182910976
yune,session_create_select_destroy,,2,1,67694.600,67694.600,170385408,170422272,0,182910976
yune,session_create_select_destroy,,3,1,65943.700,65943.700,170422272,170422272,0,182910976
yune,session_create_select_destroy,,4,1,65752.400,65752.400,170422272,170422272,0,182910976
yune,session_create_select_destroy,,5,1,67952.000,67952.000,170422272,170422272,0,182910976
yune,session_create_select_destroy,,6,1,65465.800,65465.800,170422272,170422272,0,182910976
yune,session_create_select_destroy,,7,1,68009.800,68009.800,170422272,170422272,0,182910976
yune,session_create_select_destroy,,8,1,67119.100,67119.100,170422272,170442752,0,182910976
yune,key_sequence_process_with_context,ni,0,2,9241.700,4620.850,171606016,171610112,0,182910976
yune,key_sequence_process_with_context,ni,1,2,9282.500,4641.250,171610112,171610112,0,182910976
yune,key_sequence_process_with_context,ni,2,2,8952.300,4476.150,171610112,171610112,0,182910976
yune,key_sequence_process_with_context,ni,3,2,9226.500,4613.250,171610112,171610112,0,182910976
yune,key_sequence_process_with_context,ni,4,2,9034.100,4517.050,171610112,171610112,0,182910976
yune,key_sequence_process_with_context,ni,5,2,8912.500,4456.250,171610112,171610112,0,182910976
yune,key_sequence_process_with_context,ni,6,2,9422.000,4711.000,171610112,171610112,0,182910976
yune,key_sequence_process_with_context,ni,7,2,8175.500,4087.750,171610112,171610112,0,182910976
yune,key_sequence_process_with_context,ni,8,2,9278.700,4639.350,171610112,171610112,0,182910976
yune,key_sequence_process_with_context,ni,9,2,9281.300,4640.650,171610112,171610112,0,182910976
yune,key_sequence_process_with_context,ni,10,2,8908.400,4454.200,171610112,171610112,0,182910976
