"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","20","740","301.262","323.622","323.622","323.622","15495168","15568896"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","11.900","12.733","12.733","12.733","12115968","14151680"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","14.900","18.150","18.150","18.150","12148736","14102528"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","20","1180","701.927","738.125","738.125","738.125","17145856","17420288"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","184.275","192.238","192.238","192.238","13086720","14225408"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","29706.300","34521.500","34521.500","34521.500","11026432","14102528"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","46569.400","109050.000","109050.000","109050.000","11485184","14036992"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","20","740","452200.116","456602.846","456602.846","456602.846","114974720","163598336"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","38.167","39.900","39.900","39.900","112267264","163598336"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","56.500","60.100","60.100","60.100","112013312","163598336"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","20","1180","1240080.937","1245563.285","1245563.285","1245563.285","116555776","163598336"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","61.700","122.888","122.888","122.888","112316416","163598336"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","24309.000","27952.000","27952.000","27952.000","108261376","163598336"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","5","25117.100","2962012.100","2962012.100","2962012.100","111890432","163598336"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","caksijathaacoenggeoizi","20","440","1329.836","1381.286","1381.286","1381.286","442527744","504557568"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","20","60","7726.400","8968.833","8968.833","8968.833","440979456","504557568"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","20","260","2963.523","3134.677","3134.677","3134.677","440983552","504557568"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","20","220","1866.127","1930.300","1930.300","1930.300","440614912","504557568"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","20","1220","189.207","202.084","202.084","202.084","441483264","504557568"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","20","140","1615.429","1724.186","1724.186","1724.186","440987648","504557568"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","229568.000","253487.000","253487.000","253487.000","426262528","504557568"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","5","5","212790.200","1384665.200","1384665.200","1384665.200","434024448","504557568"
