engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,2,114100,6,107200,222,40,40,200,400,2600,0,400,40,0,5,1,1100,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4500,20,1,37900,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,2,114200,6,107400,222,40,40,100,300,2700,0,400,40,0,5,1,1000,5,1,200,2,0,10,30,2,40,40,40,0,0,2,4200,20,1,37700,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,2,118300,6,111700,222,40,40,100,300,2600,100,400,40,0,5,1,1000,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4200,20,1,42800,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,2,112500,6,105700,222,40,40,0,400,2900,100,400,40,0,5,1,900,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4200,20,1,37400,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,2,111300,6,104800,222,40,40,100,200,2700,200,500,40,0,5,1,900,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4300,20,1,37200,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,5,2,2,111000,6,104400,222,40,40,0,400,2600,0,500,40,0,5,1,1000,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4200,20,1,36700,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,6,2,2,110800,6,104200,222,40,40,0,400,2600,100,500,40,0,5,1,1000,5,1,200,2,0,10,30,2,40,40,40,0,0,2,4100,20,1,36800,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,7,2,2,110800,6,104100,222,40,40,0,200,3000,100,500,40,0,5,1,900,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4200,20,1,36700,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,8,2,2,111600,6,105000,222,40,40,100,400,2600,0,400,40,0,5,1,900,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4200,20,1,37100,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,9,2,2,117400,6,110800,222,40,40,100,200,2700,100,500,40,0,5,1,900,5,1,200,2,0,10,30,2,40,40,40,0,0,2,4200,20,1,37100,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,10,2,2,111800,6,104900,222,40,40,100,300,2600,100,400,40,0,5,1,900,5,1,200,2,0,10,30,2,40,40,40,0,0,2,4200,20,1,36900,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,11,2,2,111300,6,104600,222,40,40,0,300,2900,100,500,40,0,5,1,900,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4100,20,1,36600,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,12,2,2,111000,6,104400,222,40,40,0,300,2600,0,300,40,0,5,1,900,5,1,200,2,0,10,30,2,40,40,40,0,0,2,4300,20,1,36800,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,13,2,2,110700,6,104100,222,40,40,100,400,2700,100,500,40,0,5,1,900,5,1,200,2,0,10,30,2,40,40,40,0,0,2,4200,20,1,36700,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,14,2,2,111200,6,104600,222,40,40,0,400,2800,100,500,40,0,5,1,900,5,1,200,2,0,10,30,2,40,40,40,0,0,2,4300,20,1,36700,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,15,2,2,110800,6,104300,222,40,40,100,400,2700,100,500,40,0,5,1,1000,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4100,20,1,36600,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,16,2,2,111200,6,104300,222,40,40,0,300,2800,100,500,40,0,5,1,900,5,1,200,2,0,10,30,2,40,40,40,0,0,2,4100,20,1,36600,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,17,2,2,111000,6,104700,222,40,40,100,400,2600,0,500,40,0,5,1,800,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4300,20,1,36900,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,18,2,2,115300,6,108200,222,40,40,100,300,2600,0,400,40,0,5,1,900,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4300,20,1,40000,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,19,2,2,111100,6,104600,222,40,40,200,400,2800,0,400,40,0,5,1,900,5,1,100,2,0,10,30,2,40,40,40,0,0,2,4100,20,1,36600,20,0,0,0,0,2,1,12,42
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,3,116000,9,105500,217,60,60,200,600,4100,0,700,60,0,5,1,1100,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7500,29,2,31100,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,3,116100,9,105500,217,60,60,100,500,4100,0,800,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,31300,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,3,114600,9,104500,217,60,60,200,500,4100,200,900,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,6900,29,2,31100,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,3,3,3,113400,9,103500,217,60,60,0,600,3800,0,800,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,30900,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,4,3,3,113300,9,103000,217,60,60,100,600,4100,200,900,60,0,5,1,1000,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,30900,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,5,3,3,117900,9,107600,217,60,60,100,500,3900,0,900,60,0,5,1,1000,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7200,29,2,30500,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,6,3,3,112600,9,102500,217,60,60,200,400,4000,300,800,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,6900,29,2,30400,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,7,3,3,112200,9,102100,217,60,60,100,400,3700,100,700,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7000,29,2,30500,31,0,0,0,0,3,2,12,48
