engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2962012.100,2962012.100,4714496,112041984,108564480,163598336
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,24149.800,24149.800,108621824,112271360,108232704,163598336
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,25117.100,25117.100,108244992,111804416,111804416,163598336
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,25067.700,25067.700,108171264,111845376,108158976,163598336
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,25182.900,25182.900,108163072,111890432,108154880,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,26211.200,26211.200,108158976,111648768,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,24386.600,24386.600,108122112,108220416,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,24041.500,24041.500,108240896,108199936,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,24258.200,24258.200,108199936,108204032,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,24192.800,24192.800,108208128,108187648,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,24662.000,24662.000,108191744,108171264,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,24219.100,24219.100,108171264,108224512,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,24175.800,24175.800,108228608,108232704,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,24099.500,24099.500,108232704,108314624,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,24534.000,24534.000,108314624,108228608,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,25694.800,25694.800,108269568,108253184,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,25731.700,25731.700,108257280,108285952,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,27952.000,27952.000,108290048,108339200,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,25918.200,25918.200,108343296,108314624,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,26386.600,26386.600,108318720,108261376,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,24309.000,24309.000,108261376,108343296,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,23844.000,23844.000,108347392,108326912,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,24078.400,24078.400,108326912,108314624,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,24078.200,24078.200,108318720,108355584,unavailable,163598336
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,24055.100,24055.100,108355584,108396544,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,116.100,58.050,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,116.100,58.050,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,120.200,60.100,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,114.300,57.150,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,113.000,56.500,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,5,2,112.800,56.400,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,6,2,112.600,56.300,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,7,2,112.500,56.250,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,8,2,113.300,56.650,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,9,2,119.200,59.600,112013312,112013312,unavailable,163598336
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,10,2,113.500,56.750,112013312,112013312,unavailable,163598336
