engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,3,23204400,9,23130700,19918,52,48,300,1100,51900,100,1300,48,0,5,1,4200,5,1,500,3,0,15,45,3,60,48,19739,0,0,7634,3245200,8353,3,2503500,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,3,26898300,9,26816600,19918,52,48,400,2300,53300,0,1900,48,0,5,1,4600,5,1,600,3,0,15,45,3,60,48,19739,0,0,7634,3227100,8353,3,2482800,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,3,22965800,9,22880700,19918,52,48,300,2000,57600,0,1300,48,0,5,1,4100,5,1,700,3,0,15,45,3,60,48,19739,0,0,7634,3267800,8353,3,2517700,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,3,23182300,9,23101500,19918,52,48,200,2500,53600,200,1100,48,0,5,1,4300,5,1,700,3,0,15,45,3,60,48,19739,0,0,7634,3154200,8353,3,2444500,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,3,23171400,9,23091800,19918,52,48,300,1700,52200,0,1200,48,0,5,1,4100,5,1,800,3,0,15,45,3,60,48,19739,0,0,7634,3171700,8353,3,2460100,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,5,3,3,22791900,9,22730000,19918,52,48,300,1200,42000,0,1100,48,0,5,1,3800,5,1,400,3,0,15,45,3,60,48,19739,0,0,7634,3157500,8353,3,2467500,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,6,3,3,22938600,9,22878300,19918,52,48,200,1100,41900,100,1300,48,0,5,1,3700,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3186300,8353,3,2487300,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,7,3,3,23484200,9,23405100,19918,52,48,300,2100,52100,100,1700,48,0,5,1,4300,5,1,600,3,0,15,45,3,60,48,19739,0,0,7634,3509200,8353,3,2518000,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,8,3,3,23477700,9,23417800,19918,52,48,200,1100,41300,200,1200,48,0,5,1,3300,5,1,400,3,0,15,45,3,60,48,19739,0,0,7634,3170200,8353,3,2419600,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,9,3,3,23339800,9,23272700,19918,52,48,300,1300,47700,100,1300,48,0,5,1,3700,5,1,400,3,0,15,45,3,60,48,19739,0,0,7634,3083400,8353,3,2438800,11565,0,0,7634,3,0,0,12,309
