"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","65594.500","65594.500","7610368","11124736","10477568","12226560"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","29078.700","29078.700","10481664","10760192","unavailable","13897728"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","31849.000","31849.000","10760192","10743808","unavailable","13897728"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","35524.100","35524.100","10743808","10924032","unavailable","13910016"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","37819.900","37819.900","10924032","10858496","unavailable","14004224"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","28821.500","28821.500","10858496","10969088","unavailable","14008320"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","0","2","30.600","15.300","11902976","11902976","unavailable","14041088"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","0","3","35.700","11.900","12050432","12050432","unavailable","14245888"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","0","8","1489.100","186.137","13066240","13021184","unavailable","14245888"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","0","37","11114.500","300.392","15106048","15122432","unavailable","15302656"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","0","59","40986.400","694.685","16158720","16146432","unavailable","16379904"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","2942813.000","2942813.000","4734976","109670400","109678592","163061760"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","26033.600","26033.600","109764608","107880448","unavailable","163061760"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","24480.600","24480.600","107884544","111493120","unavailable","163061760"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","24991.900","24991.900","111493120","107814912","unavailable","163061760"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","24452.100","24452.100","107827200","111529984","unavailable","163061760"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","24509.900","24509.900","111534080","107855872","unavailable","163061760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","0","2","118.400","59.200","111734784","111763456","unavailable","163061760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","0","3","118.700","39.567","111927296","111927296","unavailable","163061760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","0","8","495.300","61.912","111968256","111968256","unavailable","163061760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","0","37","16171844.700","437076.884","113811456","113811456","unavailable","163061760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","0","59","72498233.100","1228783.612","115232768","115232768","unavailable","163061760"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","0","1","1218920.500","1218920.500","10223616","428535808","415686656","504508416"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","0","1","239208.800","239208.800","415793152","418439168","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","1","1","219602.500","219602.500","418439168","419799040","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","2","1","225216.200","225216.200","419799040","420593664","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","3","1","232835.400","232835.400","420593664","420990976","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","4","1","247586.200","247586.200","420990976","422854656","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","0","3","23950.800","7983.600","436441088","436469760","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","0","7","11831.000","1690.143","436793344","436793344","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","0","13","39207.400","3015.954","438611968","438611968","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","0","11","21031.900","1911.991","438669312","438669312","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","caksijathaacoenggeoizi","0","22","29552.900","1343.314","438677504","438677504","unavailable","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","0","61","13740.800","225.259","438661120","438665216","unavailable","504508416"
