"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","1","37","300.392","300.392","300.392","300.392","15122432","15302656"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","1","3","11.900","11.900","11.900","11.900","12050432","14245888"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","1","2","15.300","15.300","15.300","15.300","11902976","14041088"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1","59","694.685","694.685","694.685","694.685","16146432","16379904"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","1","8","186.137","186.137","186.137","186.137","13021184","14245888"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","5","31849.000","37819.900","37819.900","37819.900","10858496","14008320"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","65594.500","65594.500","65594.500","65594.500","11124736","12226560"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","1","37","437076.884","437076.884","437076.884","437076.884","113811456","163061760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","1","3","39.567","39.567","39.567","39.567","111927296","163061760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","1","2","59.200","59.200","59.200","59.200","111763456","163061760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1","59","1228783.612","1228783.612","1228783.612","1228783.612","115232768","163061760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","1","8","61.912","61.912","61.912","61.912","111968256","163061760"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","5","24509.900","26033.600","26033.600","26033.600","107880448","163061760"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","2942813.000","2942813.000","2942813.000","2942813.000","109670400","163061760"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","caksijathaacoenggeoizi","1","22","1343.314","1343.314","1343.314","1343.314","438677504","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","1","3","7983.600","7983.600","7983.600","7983.600","436469760","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","1","13","3015.954","3015.954","3015.954","3015.954","438611968","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","1","11","1911.991","1911.991","1911.991","1911.991","438669312","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","1","61","225.259","225.259","225.259","225.259","438665216","504508416"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","1","7","1690.143","1690.143","1690.143","1690.143","436793344","504508416"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","5","5","232835.400","247586.200","247586.200","247586.200","420593664","504508416"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","1","1","1218920.500","1218920.500","1218920.500","1218920.500","428535808","504508416"
