engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,65594.500,65594.500,7610368,11124736,10477568,12226560
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,29078.700,29078.700,10481664,10760192,unavailable,13897728
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,31849.000,31849.000,10760192,10743808,unavailable,13897728
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,35524.100,35524.100,10743808,10924032,unavailable,13910016
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,37819.900,37819.900,10924032,10858496,unavailable,14004224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,28821.500,28821.500,10858496,10969088,unavailable,14008320
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,30.600,15.300,11902976,11902976,unavailable,14041088
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,35.700,11.900,12050432,12050432,unavailable,14245888
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,1489.100,186.137,13066240,13021184,unavailable,14245888
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,0,37,11114.500,300.392,15106048,15122432,unavailable,15302656
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,0,59,40986.400,694.685,16158720,16146432,unavailable,16379904
