engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2942813.000,2942813.000,4734976,109670400,109678592,163061760
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,26033.600,26033.600,109764608,107880448,unavailable,163061760
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,24480.600,24480.600,107884544,111493120,unavailable,163061760
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,24991.900,24991.900,111493120,107814912,unavailable,163061760
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,24452.100,24452.100,107827200,111529984,unavailable,163061760
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,24509.900,24509.900,111534080,107855872,unavailable,163061760
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,118.400,59.200,111734784,111763456,unavailable,163061760
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,118.700,39.567,111927296,111927296,unavailable,163061760
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,495.300,61.912,111968256,111968256,unavailable,163061760
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,0,37,16171844.700,437076.884,113811456,113811456,unavailable,163061760
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,0,59,72498233.100,1228783.612,115232768,115232768,unavailable,163061760
