engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,1218920.500,1218920.500,10223616,428535808,415686656,504508416
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,239208.800,239208.800,415793152,418439168,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,219602.500,219602.500,418439168,419799040,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,225216.200,225216.200,419799040,420593664,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,232835.400,232835.400,420593664,420990976,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,247586.200,247586.200,420990976,422854656,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,23950.800,7983.600,436441088,436469760,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,11831.000,1690.143,436793344,436793344,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,0,13,39207.400,3015.954,438611968,438611968,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,0,11,21031.900,1911.991,438669312,438669312,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,caksijathaacoenggeoizi,0,22,29552.900,1343.314,438677504,438677504,unavailable,504508416
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,0,61,13740.800,225.259,438661120,438665216,unavailable,504508416
