"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5","185","295.170","297.365","297.365","297.365","15167488","15339520"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","5","15","11.733","12.133","12.133","12.133","12148736","14200832"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","5","10","14.850","15.200","15.200","15.200","12148736","14135296"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5","295","689.490","692.741","692.741","692.741","16228352","16695296"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","5","40","181.062","181.438","181.438","181.438","13094912","14258176"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","27556.400","31904.200","31904.200","31904.200","10944512","14118912"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","3","31129.600","48596.900","48596.900","48596.900","11546624","14020608"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5","185","506.227","506.778","506.778","506.778","111534080","123891712"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","5","15","39.100","39.567","39.567","39.567","111259648","123891712"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","5","10","57.700","59.150","59.150","59.150","111382528","123891712"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5","295","916.183","1049.327","1049.327","1049.327","111505408","123891712"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","5","40","61.750","62.000","62.000","62.000","111316992","123891712"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","24046.800","24084.500","24084.500","24084.500","107675648","123891712"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","3","24538.700","2913846.200","2913846.200","2913846.200","110997504","123891712"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","caksijathaacoenggeoizisyujapsinhojijung","5","195","733.482","734.062","734.062","734.062","442499072","504057856"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","5","15","7647.100","7864.333","7864.333","7864.333","441323520","504057856"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","5","65","2862.238","2894.408","2894.408","2894.408","441954304","504057856"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","5","55","2205.009","2209.809","2209.809","2209.809","443154432","504057856"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","5","305","202.693","204.539","204.539","204.539","442511360","504057856"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","5","35","1634.671","5115.443","5115.443","5115.443","442802176","504057856"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","10","10","156500.900","169894.400","169894.400","169894.400","426254336","504057856"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","3","3","150760.400","966398.600","966398.600","966398.600","433364992","504057856"
