engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2913846.200,2913846.200,4730880,111054848,107589632,123891712
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23110.400,23110.400,107659264,110616576,107671552,123891712
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,24538.700,24538.700,107675648,110997504,107773952,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,24084.500,24084.500,107773952,107745280,unavailable,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23878.400,23878.400,107745280,107724800,unavailable,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,24057.700,24057.700,107724800,107675648,unavailable,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,24046.800,24046.800,107675648,107581440,unavailable,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,24019.500,24019.500,107601920,107663360,unavailable,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23887.200,23887.200,107663360,107683840,unavailable,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23924.000,23924.000,107687936,107675648,unavailable,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,24059.200,24059.200,107675648,107642880,unavailable,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,24008.700,24008.700,107646976,107671552,unavailable,123891712
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,24079.000,24079.000,107671552,107696128,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,114.700,57.350,111353856,111382528,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,118.300,59.150,111382528,111382528,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,115.600,57.800,111382528,111382528,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,114.800,57.400,111382528,111382528,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,115.400,57.700,111382528,111386624,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,117.800,39.267,111259648,111259648,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,118.700,39.567,111259648,111259648,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,116.200,38.733,111259648,111259648,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,3,3,117.100,39.033,111259648,111259648,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,4,3,117.300,39.100,111259648,111259648,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,488.000,61.000,111316992,111316992,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,1,8,494.000,61.750,111316992,111316992,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,2,8,494.000,61.750,111316992,111316992,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,3,8,496.000,62.000,111316992,111316992,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,4,8,492.200,61.525,111316992,111316992,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,0,37,18692.200,505.195,111529984,111529984,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,1,37,18729.700,506.208,111534080,111534080,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,2,37,18742.200,506.546,111534080,111534080,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,3,37,18750.800,506.778,111534080,111534080,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,4,37,18730.400,506.227,111534080,111534080,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,0,59,53807.400,911.990,111497216,111497216,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,1,59,54054.800,916.183,111497216,111497216,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,2,59,54002.900,915.303,111497216,111505408,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,3,59,56158.000,951.831,111505408,111509504,unavailable,123891712
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,4,59,61910.300,1049.327,111509504,111509504,unavailable,123891712
