engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,3,22870000,9,22846100,19918,52,48,100,700,15500,100,900,48,0,5,1,1600,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3333600,8353,3,2462500,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,3,23586000,9,23482700,19918,52,48,500,4200,63500,200,2600,48,0,5,1,3800,5,1,700,3,0,15,45,3,60,48,19739,0,0,7634,3349900,8353,3,2795000,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1100,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,3,23227500,9,23185300,19918,52,48,200,1400,26600,0,1300,48,0,5,1,2700,5,1,500,3,0,15,45,3,60,48,19739,0,0,7634,3247900,8353,3,2315800,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,900,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,3,22938500,9,22911800,19918,52,48,0,900,16700,0,900,48,0,5,1,1700,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3261400,8353,3,2325100,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,3,22933400,9,22905800,19918,52,48,0,1000,18200,100,1100,48,0,5,1,1600,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3244600,8353,3,2328600,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,7,11454800,21,11419000,13954,62,53,300,1700,18100,200,1500,53,0,0,1,700,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2131300,5277,10,1768700,8677,0,0,4729,10,0,0,2,16,6,9000,32,32,6200,0,6,1300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,7,11441100,21,11405700,13954,62,53,100,1600,18000,300,1300,53,0,0,1,700,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2105400,5277,10,1755000,8677,0,0,4729,10,0,0,2,16,6,8500,32,32,6200,0,6,1100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,7,11402700,21,11368000,13954,62,53,100,1500,17900,100,1400,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2104700,5277,10,1744100,8677,0,0,4729,10,0,0,2,16,6,8700,32,32,5800,0,6,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,7,35806200,21,35767100,13954,62,53,100,1600,21600,100,1600,53,0,0,1,600,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,11754100,5277,10,16353900,8677,0,0,4729,10,0,0,2,16,6,8800,32,32,5600,0,6,1100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,7,11413700,21,11379400,13954,62,53,100,1600,17600,200,1400,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2093200,5277,10,1757000,8677,0,0,4729,10,0,0,2,16,6,8600,32,32,5400,0,6,1200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,0,13,13,37623800,39,37571900,26660,46,45,300,3600,18200,200,1200,45,0,0,1,1900,0,1,100,13,0,65,195,3,60,45,25339,0,10,10379,4427000,11634,23,2856800,15026,0,0,10379,23,0,0,2,28,20,39500,166,166,26500,0,20,3700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,19200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,1,13,13,37206900,39,37160700,26660,46,45,600,2800,16700,400,1100,45,0,0,1,800,0,1,100,13,0,65,195,3,60,45,25339,0,10,10379,4453900,11634,23,2865700,15026,0,0,10379,23,0,0,2,28,20,37800,166,166,26600,0,20,3600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,19200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,2,13,13,37060900,39,37016200,26660,46,45,600,2900,16200,200,1400,45,0,0,1,700,0,1,100,13,0,65,195,3,60,45,25339,0,10,10379,4444500,11634,23,2879000,15026,0,0,10379,23,0,0,2,28,20,38200,166,166,26800,0,20,3200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,18500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,3,13,13,37013900,39,36965100,26660,46,45,400,3000,18000,100,1000,45,0,0,1,700,0,1,100,13,0,65,195,3,60,45,25339,0,10,10379,4450100,11634,23,2869000,15026,0,0,10379,23,0,0,2,28,20,37800,166,166,25900,0,20,3500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,19000,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,4,13,13,37564200,39,37520000,26660,46,45,400,3100,16100,700,1000,45,0,0,1,700,0,1,100,13,0,65,195,3,60,45,25339,0,10,10379,4360600,11634,23,2884500,15026,0,0,10379,23,0,0,2,28,20,38400,166,166,26300,0,20,2800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,19200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,0,11,11,24199100,33,24147000,20712,100,90,500,2300,26900,200,2000,90,0,0,1,700,0,1,0,11,0,55,165,6,120,90,19628,0,5,7032,3014800,8007,16,2546600,12705,0,0,7032,16,0,0,2,24,10,20800,86,86,16200,0,10,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,13700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,1,11,11,24194500,33,24142800,20712,100,90,400,2500,26800,600,1800,90,0,0,1,600,0,1,100,11,0,55,165,6,120,90,19628,0,5,7032,2991300,8007,16,2556900,12705,0,0,7032,16,0,0,2,24,10,20600,86,86,14100,0,10,1800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,13400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,2,11,11,24285000,33,24225800,20712,100,90,300,2400,33600,300,2000,90,0,0,1,600,0,1,100,11,0,55,165,6,120,90,19628,0,5,7032,3010800,8007,16,2564900,12705,0,0,7032,16,0,0,2,24,10,20700,86,86,13900,0,10,1800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,13100,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,3,11,11,24306400,33,24254300,20712,100,90,100,2500,27000,600,1800,90,0,0,1,600,0,1,0,11,0,55,165,6,120,90,19628,0,5,7032,3118500,8007,16,2565300,12705,0,0,7032,16,0,0,2,24,10,20900,86,86,14300,0,10,1700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,13400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,4,11,11,24253500,33,24200100,20712,100,90,300,2400,27100,400,3400,90,0,0,1,500,0,1,0,11,0,55,165,6,120,90,19628,0,5,7032,3002500,8007,16,2579100,12705,0,0,7032,16,0,0,2,24,10,22000,86,86,15900,0,10,1800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,14800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,caksijathaacoenggeoizisyujapsinhojijung,0,39,39,28584400,117,28486900,22076,43,40,1000,9900,19200,700,2200,40,0,0,1,800,0,1,0,39,0,195,585,3,60,40,22067,0,36,8759,3841600,9643,75,2530300,12433,0,0,8759,75,0,0,2,80,72,341300,1548,1548,259500,0,72,15800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,186700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,caksijathaacoenggeoizisyujapsinhojijung,1,39,39,28602500,117,28505000,22076,43,40,1000,10300,20300,1300,1300,40,0,0,1,1000,0,1,100,39,0,195,585,3,60,40,22067,0,36,8759,3833900,9643,75,2521900,12433,0,0,8759,75,0,0,2,80,72,338600,1548,1548,255900,0,72,12400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,185700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,caksijathaacoenggeoizisyujapsinhojijung,2,39,39,28610900,117,28512600,22076,43,40,800,10000,19300,900,1600,40,0,0,1,800,0,1,100,39,0,195,585,3,60,40,22067,0,36,8759,3825400,9643,75,2512900,12433,0,0,8759,75,0,0,2,80,72,340900,1548,1548,263300,0,72,12700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,186000,0,0,0,0,0,0
