engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,966398.600,966398.600,10424320,430440448,417591296,504057856
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,150760.400,150760.400,417693696,433364992,420515840,504057856
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,141490.200,141490.200,420515840,434520064,421670912,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,153937.500,153937.500,421670912,423141376,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,160668.200,160668.200,423141376,423137280,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,154351.200,154351.200,423137280,423907328,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,156500.900,156500.900,423907328,424693760,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,151760.600,151760.600,424693760,426254336,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,169894.400,169894.400,426254336,426790912,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,158969.100,158969.100,426790912,426795008,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,158937.500,158937.500,426795008,427384832,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,154205.600,154205.600,427384832,427384832,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,153319.900,153319.900,427384832,428179456,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,22873.300,7624.433,441286656,441315328,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,23593.000,7864.333,441315328,441323520,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,23232.200,7744.067,441323520,441323520,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,22941.300,7647.100,441323520,441323520,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,22936.000,7645.333,441323520,441327616,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,11456.700,1636.671,442802176,442802176,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,11442.700,1634.671,442802176,442802176,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,11404.300,1629.186,442802176,442802176,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,35808.100,5115.443,442802176,442802176,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,11414.900,1630.700,442802176,442802176,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,0,13,37627.300,2894.408,441954304,441954304,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,1,13,37209.100,2862.238,441954304,441954304,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,2,13,37062.700,2850.977,441954304,441954304,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,3,13,37015.600,2847.354,441954304,441954304,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,4,13,37566.200,2889.708,441954304,441954304,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,0,11,24200.900,2200.082,443150336,443150336,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,1,11,24196.000,2199.636,443150336,443154432,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,2,11,24286.600,2207.873,443154432,443154432,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,3,11,24307.900,2209.809,443154432,443154432,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,loengjathau,4,11,24255.100,2205.009,443154432,443154432,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,caksijathaacoenggeoizisyujapsinhojijung,0,39,28587.200,733.005,442490880,442494976,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,caksijathaacoenggeoizisyujapsinhojijung,1,39,28605.800,733.482,442499072,442499072,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,caksijathaacoenggeoizisyujapsinhojijung,2,39,28613.800,733.687,442499072,442499072,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,caksijathaacoenggeoizisyujapsinhojijung,3,39,28556.000,732.205,442499072,442499072,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,caksijathaacoenggeoizisyujapsinhojijung,4,39,28628.400,734.062,442499072,442499072,unavailable,504057856
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,0,61,12336.200,202.233,442511360,442511360,unavailable,504057856
