"engine","track","schema_id","workload","input","sample_index","operation_count","process_key_calls","process_key_ns","translator_calls","translator_ns","lookup_views_visited","owned_candidates_materialized","candidates_sorted","candidate_sort_ns","userdb_merge_ns","filter_pipeline_ns","ranker_pipeline_ns","ai_merge_ns","candidates_stored","context_full_snapshot_candidates_cloned","context_page_snapshot_candidates_cloned","abi_get_context_calls","abi_get_context_ns","abi_candidates_exported","abi_free_context_calls","abi_free_context_ns","candidate_request_bounded_calls","candidate_request_unbounded_calls","candidate_request_page_limit_total","candidate_request_surplus_total","bounded_iterator_calls","bounded_iterator_limit_total","bounded_iterator_selected_total","bounded_iterator_full_count_total","full_list_translation_calls","full_list_fallback_count","exact_lookup_calls","exact_lookup_ns","exact_lookup_candidates","prefix_lookup_calls","prefix_lookup_ns","prefix_lookup_candidates","heap_exact_lookup_calls","heap_prefix_lookup_calls","no_marisa_compact_exact_lookup_calls","no_marisa_compact_prefix_lookup_calls","rsmarisa_exact_lookup_calls","rsmarisa_prefix_lookup_calls","abi_c_string_allocations","abi_c_string_bytes","sentence_candidate_calls","sentence_candidate_ns","sentence_substrings_considered","sentence_exact_lookup_calls","sentence_exact_lookup_ns","sentence_exact_lookup_candidates","sentence_prefix_lookup_calls","sentence_prefix_lookup_ns","sentence_prefix_lookup_candidates","sentence_entry_matches_collected","sentence_path_clones","sentence_path_replacements","sentence_paths_pruned","sentence_max_live_paths","sentence_result_candidates","upstream_sentence_model_calls","upstream_sentence_model_ns","upstream_sentence_model_candidates","upstream_sentence_model_code_prefix_checks","upstream_sentence_model_table_entries_considered","upstream_sentence_model_vocabulary_entries_considered","upstream_sentence_model_graph_edges","prefix_fallback_calls","prefix_fallback_ns","prefix_fallback_views_visited","prefix_fallback_candidates","dynamic_correction_calls","dynamic_correction_ns","dynamic_correction_codes_considered","dynamic_correction_candidates"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","0","2","2","111700","6","105500","222","40","40","0","400","2400","0","400","40","0","5","1","1200","5","1","100","2","0","10","30","2","40","40","40","0","0","2","4300","20","1","38100","20","0","0","0","0","2","1","12","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","1","2","2","114800","6","108000","222","40","40","100","400","2600","0","500","40","0","5","1","1000","5","1","100","2","0","10","30","2","40","40","40","0","0","2","4300","20","1","38300","20","0","0","0","0","2","1","12","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","2","2","2","111800","6","105400","222","40","40","0","300","2500","0","400","40","0","5","1","1100","5","1","100","2","0","10","30","2","40","40","40","0","0","2","4300","20","1","37500","20","0","0","0","0","2","1","12","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","3","2","2","111100","6","104800","222","40","40","0","300","2400","100","400","40","0","5","1","1000","5","1","100","2","0","10","30","2","40","40","40","0","0","2","4200","20","1","37500","20","0","0","0","0","2","1","12","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4","2","2","117900","6","111200","222","40","40","100","400","2600","0","400","40","0","5","1","1100","5","1","200","2","0","10","30","2","40","40","40","0","0","2","4200","20","1","37600","20","0","0","0","0","2","1","12","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","0","3","3","112700","9","102400","217","60","60","100","500","3900","100","700","60","0","5","1","1000","5","1","100","3","0","15","45","3","60","60","60","0","0","3","7100","29","2","31200","31","0","0","0","0","3","2","12","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","1","3","3","138500","9","127800","217","60","60","200","600","4000","100","800","60","0","5","1","1100","5","1","200","3","0","15","45","3","60","60","60","0","0","3","7000","29","2","31900","31","0","0","0","0","3","2","12","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","2","3","3","115600","9","105100","217","60","60","200","500","4200","0","700","60","0","5","1","1100","5","1","200","3","0","15","45","3","60","60","60","0","0","3","7000","29","2","33400","31","0","0","0","0","3","2","12","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","3","3","3","112300","9","102000","217","60","60","0","500","3900","0","700","60","0","5","1","1000","5","1","100","3","0","15","45","3","60","60","60","0","0","3","7000","29","2","31100","31","0","0","0","0","3","2","12","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","4","3","3","111200","9","101400","217","60","60","100","600","3900","100","800","60","0","5","1","1100","5","1","100","3","0","15","45","3","60","60","60","0","0","3","6800","29","2","30500","31","0","0","0","0","3","2","12","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
