"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5","185","299.835","304.262","304.262","304.262","15089664","15310848"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","5","15","12.033","13.033","13.033","13.033","11980800","14176256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","5","10","14.800","15.050","15.050","15.050","11919360","14073856"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5","295","703.558","712.820","712.820","712.820","16265216","16695296"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","5","40","191.575","194.412","194.412","194.412","12812288","14299136"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","28987.400","31380.700","31380.700","31380.700","10936320","14073856"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","3","28028.500","54901.300","54901.300","54901.300","11534336","13971456"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","5","185","509.946","526.965","526.965","526.965","112422912","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","5","15","38.200","46.800","46.800","46.800","111923200","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","5","10","56.950","59.950","59.950","59.950","111869952","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","5","295","918.203","950.019","950.019","950.019","112558080","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","5","40","61.412","105.812","105.812","105.812","111874048","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","10","25702.200","29298.800","29298.800","29298.800","107986944","177500160"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","3","24281.900","2987077.800","2987077.800","2987077.800","111521792","177500160"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","caksijathaacoenggeoizi","5","110","1343.282","1367.850","1367.850","1367.850","440102912","504299520"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","5","15","7639.567","8047.667","8047.667","8047.667","440090624","504299520"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","5","65","3182.246","3337.108","3337.108","3337.108","440102912","504299520"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","5","55","1884.555","2001.291","2001.291","2001.291","440107008","504299520"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","5","305","208.915","211.093","211.093","211.093","440102912","504299520"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","5","35","1637.657","1645.429","1645.429","1645.429","440090624","504299520"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","10","10","215264.100","253503.400","253503.400","253503.400","426029056","504299520"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","3","3","164445.500","1134784.300","1134784.300","1134784.300","433356800","504299520"
