engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2987077.800,2987077.800,4734976,111353856,108359680,177500160
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,24281.900,24281.900,108441600,112209920,107950080,177500160
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,24150.400,24150.400,107954176,111521792,107999232,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,24568.800,24568.800,108007424,107974656,unavailable,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,26360.100,26360.100,107978752,107937792,unavailable,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,29298.800,29298.800,107937792,107962368,unavailable,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,27751.100,27751.100,107962368,107982848,unavailable,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,28369.500,28369.500,107982848,108032000,unavailable,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,25659.400,25659.400,108032000,108007424,unavailable,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,24882.100,24882.100,108007424,108052480,unavailable,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,25702.200,25702.200,108052480,107986944,unavailable,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,25121.600,25121.600,107986944,108048384,unavailable,177500160
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,24889.100,24889.100,108048384,108011520,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,0,2,113.900,56.950,111841280,111869952,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,1,2,116.800,58.400,111869952,111869952,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,2,2,113.700,56.850,111869952,111869952,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,3,2,113.000,56.500,111869952,111869952,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,4,2,119.900,59.950,111869952,111874048,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,114.600,38.200,111923200,111923200,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,140.400,46.800,111923200,111923200,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,117.500,39.167,111923200,111923200,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,3,3,114.200,38.067,111923200,111923200,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,4,3,113.200,37.733,111923200,111923200,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,489.800,61.225,111874048,111874048,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,1,8,491.300,61.412,111874048,111874048,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,2,8,491.300,61.412,111874048,111874048,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,3,8,846.500,105.812,111874048,111874048,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,4,8,644.500,80.562,111874048,111874048,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,0,37,19497.700,526.965,112418816,112418816,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,1,37,19403.300,524.414,112422912,112422912,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,2,37,18791.200,507.870,112422912,112422912,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,3,37,18850.600,509.476,112422912,112422912,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,4,37,18868.000,509.946,112422912,112422912,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,0,59,54126.600,917.400,112549888,112558080,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,1,59,54049.600,916.095,112558080,112558080,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,2,59,54174.000,918.203,112558080,112558080,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,3,59,54671.200,926.631,112558080,112558080,unavailable,177500160
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,4,59,56051.100,950.019,112558080,112558080,unavailable,177500160
