engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,3,24138500,9,24105000,19918,52,48,100,1200,19500,0,1200,48,0,5,1,2600,5,1,400,3,0,15,45,3,60,48,19739,0,0,7634,3247300,8353,3,3048400,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,3,22915500,9,22888600,19918,52,48,200,1100,16000,0,1100,48,0,5,1,1700,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3253300,8353,3,2388200,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,900,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,3,22960500,9,22933300,19918,52,48,100,800,17600,0,900,48,0,5,1,1500,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3256200,8353,3,2379600,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,3,22856700,9,22832300,19918,52,48,200,700,15400,100,900,48,0,5,1,1500,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3255200,8353,3,2339300,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,3,22883900,9,22859200,19918,52,48,100,800,15300,0,900,48,0,5,1,1400,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3262300,8353,3,2379100,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,7,11516400,21,11482200,13954,62,53,200,1500,17400,100,1300,53,0,0,1,700,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2056900,5277,10,1739600,8677,0,0,4729,10,0,0,2,16,6,8300,32,32,5000,0,6,1300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,7,11462200,21,11427400,13954,62,53,200,1400,17800,100,1500,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2035700,5277,10,1722800,8677,0,0,4729,10,0,0,2,16,6,8200,32,32,5000,0,6,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,7,11459100,21,11424300,13954,62,53,200,1400,18100,100,1500,53,0,0,1,500,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2032800,5277,10,1724300,8677,0,0,4729,10,0,0,2,16,6,8300,32,32,5100,0,6,1200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,7,11468800,21,11434500,13954,62,53,200,1500,18000,100,1500,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2044900,5277,10,1723000,8677,0,0,4729,10,0,0,2,16,6,8500,32,32,5400,0,6,800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,7,11445800,21,11410900,13954,62,53,200,1400,17900,400,1500,53,0,0,1,500,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2044200,5277,10,1729900,8677,0,0,4729,10,0,0,2,16,6,8100,32,32,4800,0,6,1000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5300,0,0,0,0,0,0
