engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,1134784.300,1134784.300,10289152,430190592,417341440,504299520
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,161470.100,161470.100,417452032,433356800,420507648,504299520
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,164445.500,164445.500,420507648,435462144,422612992,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,253503.400,253503.400,422612992,423141376,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,201736.900,201736.900,423141376,423399424,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,203938.300,203938.300,423403520,424697856,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,236682.900,236682.900,424697856,424697856,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,221174.000,221174.000,424697856,426029056,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,215264.100,215264.100,426029056,426283008,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,204108.200,204108.200,426283008,426291200,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,211549.100,211549.100,426295296,427073536,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,223072.800,223072.800,427077632,427085824,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,186947.400,186947.400,427085824,427089920,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,24143.000,8047.667,440061952,440090624,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,22918.700,7639.567,440090624,440090624,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,22963.300,7654.433,440090624,440090624,unavailable,504299520
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,22859.300,7619.767,440090624,440090624,unavailable,504299520
