"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","20","740","291.786","297.416","297.416","297.416","15568896","15601664"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","11.867","15.033","15.033","15.033","12111872","14172160"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","14.550","15.450","15.450","15.450","12091392","14102528"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","20","1180","695.653","745.319","745.319","745.319","17182720","17608704"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","183.887","188.062","188.062","188.062","13131776","14233600"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","26938.500","34645.300","34645.300","34645.300","11051008","14098432"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","27314.000","46056.700","46056.700","46056.700","11563008","14069760"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","20","740","514.903","684.776","684.776","684.776","111755264","123985920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","20","60","38.933","62.033","62.033","62.033","111443968","123985920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","20","40","56.200","59.800","59.800","59.800","111435776","123985920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","20","1180","917.961","1004.503","1004.503","1004.503","112635904","123985920"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","20","160","60.588","68.388","68.388","68.388","111468544","123985920"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","20","25255.500","27318.400","27318.400","27318.400","108068864","123985920"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","25048.200","2903679.000","2903679.000","2903679.000","111169536","123985920"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","caksijathaacoenggeoizi","20","440","1281.455","1562.923","1562.923","1562.923","440967168","504041472"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","hai","20","60","7425.800","7688.867","7688.867","7688.867","440758272","504041472"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","jigaajiusihaa","20","260","2974.092","3056.000","3056.000","3056.000","440954880","504041472"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","loengjathau","20","220","1871.227","1879.727","1879.727","1879.727","440950784","504041472"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","20","1220","188.857","194.910","194.910","194.910","441450496","504041472"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","ngohaig","20","140","1597.386","1607.029","1607.029","1607.029","440946688","504041472"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","20","20","174795.900","213698.400","213698.400","213698.400","426823680","504041472"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","138512.900","1003867.000","1003867.000","1003867.000","436486144","504041472"
