engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,3,22563700,9,22539600,19918,52,48,200,900,15200,100,1100,48,0,5,1,1700,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3351100,8353,3,2315100,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1000,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,3,22516900,9,22492600,19918,52,48,100,700,15500,200,900,48,0,5,1,1300,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3333700,8353,3,2322700,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,3,22589600,9,22565600,19918,52,48,200,700,15300,0,1100,48,0,5,1,1300,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3321800,8353,3,2289900,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,3,22849900,9,22825900,19918,52,48,100,700,15000,0,1000,48,0,5,1,1300,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3303900,8353,3,2288500,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,3,22838700,9,22815200,19918,52,48,100,700,14900,200,900,48,0,5,1,1300,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3311000,8353,3,2287600,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,5,3,3,22821700,9,22798300,19918,52,48,100,800,15000,0,900,48,0,5,1,1400,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3286500,8353,3,2284000,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,6,3,3,23062700,9,23029800,19918,52,48,400,1400,19300,0,1000,48,0,5,1,2400,5,1,500,3,0,15,45,3,60,48,19739,0,0,7634,3176800,8353,3,2276400,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1000,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,7,3,3,22095400,9,22070700,19918,52,48,100,800,15300,0,1100,48,0,5,1,1500,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3160800,8353,3,2267700,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,8,3,3,22167400,9,22143700,19918,52,48,200,600,15000,200,1000,48,0,5,1,1400,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3170800,8353,3,2276800,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,9,3,3,22302400,9,22270200,19918,52,48,200,1000,18600,0,900,48,0,5,1,2400,5,1,400,3,0,15,45,3,60,48,19739,0,0,7634,3139000,8353,3,2280100,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,10,3,3,22154200,9,22129700,19918,52,48,300,700,15200,200,900,48,0,5,1,1400,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3173200,8353,3,2271000,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,11,3,3,22145300,9,22122300,19918,52,48,0,600,14700,0,900,48,0,5,1,1300,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3155200,8353,3,2274500,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,12,3,3,22180800,9,22157200,19918,52,48,100,700,15100,200,900,48,0,5,1,1300,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3153800,8353,3,2292800,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,13,3,3,22189300,9,22162800,19918,52,48,100,600,18300,200,1000,48,0,5,1,1500,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3163800,8353,3,2279600,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1100,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,14,3,3,22213900,9,22191300,19918,52,48,0,600,14500,0,1000,48,0,5,1,1300,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3167400,8353,3,2277400,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,15,3,3,22311600,9,22286600,19918,52,48,0,500,16800,100,1000,48,0,5,1,1400,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3192100,8353,3,2283800,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,16,3,3,22231600,9,22208400,19918,52,48,100,700,14700,100,1000,48,0,5,1,1300,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3200700,8353,3,2273100,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,17,3,3,22266800,9,22243700,19918,52,48,200,600,14500,0,1000,48,0,5,1,1300,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3197700,8353,3,2267100,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,18,3,3,22190700,9,22167800,19918,52,48,200,600,14700,100,900,48,0,5,1,1300,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3178800,8353,3,2267400,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,19,3,3,22275000,9,22251900,19918,52,48,100,600,14600,100,1000,48,0,5,1,1300,5,1,200,3,0,15,45,3,60,48,19739,0,0,7634,3184200,8353,3,2291700,11565,0,0,7634,3,0,0,12,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,7,11179600,21,11142200,13954,62,53,0,1300,20800,200,1200,53,0,0,1,700,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2032900,5277,10,1688900,8677,0,0,4729,10,0,0,2,16,3,4200,16,16,2900,0,3,700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,7,11167400,21,11125600,13954,62,53,0,1300,24100,100,2000,53,0,0,1,500,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2040400,5277,10,1684600,8677,0,0,4729,10,0,0,2,16,3,4100,16,16,2700,0,3,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,7,11248000,21,11210400,13954,62,53,100,1500,20700,0,1400,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2027900,5277,10,1718500,8677,0,0,4729,10,0,0,2,16,3,4000,16,16,2700,0,3,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,7,11164900,21,11131600,13954,62,53,100,1600,17100,100,1200,53,0,0,1,500,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2028000,5277,10,1695600,8677,0,0,4729,10,0,0,2,16,3,4100,16,16,2500,0,3,700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,7,11164400,21,11130800,13954,62,53,400,1600,16800,100,1400,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2040700,5277,10,1678000,8677,0,0,4729,10,0,0,2,16,3,4100,16,16,2900,0,3,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,5,7,7,11136300,21,11103400,13954,62,53,0,1500,16800,200,1500,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2033700,5277,10,1676200,8677,0,0,4729,10,0,0,2,16,3,4100,16,16,2400,0,3,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,6,7,7,11219800,21,11186300,13954,62,53,300,1500,16800,0,1500,53,0,0,1,600,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2037900,5277,10,1689000,8677,0,0,4729,10,0,0,2,16,3,4000,16,16,2600,0,3,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,7,7,7,11152500,21,11119500,13954,62,53,0,1500,16700,0,1100,53,0,0,1,500,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2026700,5277,10,1681400,8677,0,0,4729,10,0,0,2,16,3,3900,16,16,2500,0,3,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,8,7,7,11160200,21,11127800,13954,62,53,400,1400,16900,400,1200,53,0,0,1,600,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2042300,5277,10,1688500,8677,0,0,4729,10,0,0,2,16,3,4100,16,16,2800,0,3,400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,9,7,7,11182600,21,11148500,13954,62,53,200,1300,17300,300,1300,53,0,0,1,700,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2062000,5277,10,1682200,8677,0,0,4729,10,0,0,2,16,3,4100,16,16,2400,0,3,700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,10,7,7,11181100,21,11148400,13954,62,53,100,1400,16700,300,1400,53,0,0,1,600,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2057700,5277,10,1686100,8677,0,0,4729,10,0,0,2,16,3,4000,16,16,2700,0,3,700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,11,7,7,11199000,21,11165600,13954,62,53,200,1300,17200,100,1300,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2050700,5277,10,1683300,8677,0,0,4729,10,0,0,2,16,3,4100,16,16,2800,0,3,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,12,7,7,11187900,21,11154500,13954,62,53,100,1400,17200,200,1000,53,0,0,1,500,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2060200,5277,10,1687100,8677,0,0,4729,10,0,0,2,16,3,4000,16,16,2400,0,3,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,13,7,7,11203000,21,11169700,13954,62,53,100,1500,17000,200,1400,53,0,0,1,600,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2051300,5277,10,1684500,8677,0,0,4729,10,0,0,2,16,3,4000,16,16,2500,0,3,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,14,7,7,11171500,21,11138700,13954,62,53,200,1500,16900,200,1500,53,0,0,1,600,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2051300,5277,10,1682100,8677,0,0,4729,10,0,0,2,16,3,4100,16,16,3000,0,3,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,15,7,7,11169200,21,11137000,13954,62,53,100,1500,16700,200,1200,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2051000,5277,10,1688900,8677,0,0,4729,10,0,0,2,16,3,4200,16,16,3100,0,3,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,16,7,7,11178100,21,11144900,13954,62,53,200,1500,17000,100,1200,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2053200,5277,10,1685200,8677,0,0,4729,10,0,0,2,16,3,4200,16,16,2600,0,3,400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,17,7,7,11206500,21,11173700,13954,62,53,300,1400,17000,0,1100,53,0,0,1,500,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2052800,5277,10,1708900,8677,0,0,4729,10,0,0,2,16,3,4200,16,16,2600,0,3,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,18,7,7,11182700,21,11149600,13954,62,53,300,1500,16900,100,1200,53,0,0,1,600,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,2051700,5277,10,1691100,8677,0,0,4729,10,0,0,2,16,3,4100,16,16,2700,0,3,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3700,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,19,7,7,11165300,21,11132300,13954,62,53,200,1400,17200,300,1000,53,0,0,1,500,0,1,0,7,0,35,105,4,80,53,12930,0,3,4729,2051300,5277,10,1676400,8677,0,0,4729,10,0,0,2,16,3,4000,16,16,3000,0,3,600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,0,13,13,38579100,39,38504700,26660,46,45,300,3300,16100,400,1200,45,0,0,1,2800,0,1,0,13,0,65,195,3,60,45,25339,0,10,10379,4406600,11634,23,2856000,15026,0,0,10379,23,0,0,2,28,10,18700,83,83,12900,0,10,1900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10300,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,1,13,13,38728800,39,38682700,26660,46,45,600,2900,16200,200,1500,45,0,0,1,700,0,1,100,13,0,65,195,3,60,45,25339,0,10,10379,4424300,11634,23,2831400,15026,0,0,10379,23,0,0,2,28,10,19000,83,83,13300,0,10,1600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,2,13,13,38733700,39,38690100,26660,46,45,700,3000,16000,300,1500,45,0,0,1,700,0,1,100,13,0,65,195,3,60,45,25339,0,10,10379,4408400,11634,23,2841200,15026,0,0,10379,23,0,0,2,28,10,18600,83,83,13800,0,10,1600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,3,13,13,39154700,39,39110400,26660,46,45,400,2800,16900,400,1100,45,0,0,1,800,0,1,0,13,0,65,195,3,60,45,25339,0,10,10379,4393700,11634,23,2854100,15026,0,0,10379,23,0,0,2,28,10,18700,83,83,12800,0,10,1500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,4,13,13,38522000,39,38478000,26660,46,45,200,2800,16400,300,1500,45,0,0,1,700,0,1,100,13,0,65,195,3,60,45,25339,0,10,10379,4387300,11634,23,2843600,15026,0,0,10379,23,0,0,2,28,10,18400,83,83,12600,0,10,1800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,5,13,13,38641200,39,38593800,26660,46,45,300,3000,16100,100,1300,45,0,0,1,700,0,1,0,13,0,65,195,3,60,45,25339,0,10,10379,4402000,11634,23,2838200,15026,0,0,10379,23,0,0,2,28,10,18300,83,83,13300,0,10,1600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10500,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,6,13,13,38485400,39,38442200,26660,46,45,100,2700,15800,400,1200,45,0,0,1,700,0,1,0,13,0,65,195,3,60,45,25339,0,10,10379,4393500,11634,23,2826100,15026,0,0,10379,23,0,0,2,28,10,18300,83,83,13500,0,10,1600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,7,13,13,38265500,39,38221300,26660,46,45,900,2600,16500,0,1300,45,0,0,1,800,0,1,200,13,0,65,195,3,60,45,25339,0,10,10379,4408000,11634,23,2833100,15026,0,0,10379,23,0,0,2,28,10,19000,83,83,13300,0,10,1700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,8,13,13,38773700,39,38731000,26660,46,45,100,3000,15900,600,1300,45,0,0,1,700,0,1,100,13,0,65,195,3,60,45,25339,0,10,10379,4392100,11634,23,2818900,15026,0,0,10379,23,0,0,2,28,10,18400,83,83,13400,0,10,1700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10000,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,9,13,13,38607900,39,38564500,26660,46,45,400,3000,15800,500,1600,45,0,0,1,600,0,1,0,13,0,65,195,3,60,45,25339,0,10,10379,4389300,11634,23,2819700,15026,0,0,10379,23,0,0,2,28,10,18600,83,83,13600,0,10,1700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10200,0,0,0,0,0,0
