engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,1003867.000,1003867.000,10371072,429596672,416747520,504041472
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,133510.400,133510.400,416849920,433168384,420319232,504041472
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,145305.200,145305.200,420319232,434728960,421879808,504041472
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,138512.900,138512.900,421883904,435679232,422830080,504041472
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,139335.000,139335.000,422830080,436486144,423636992,504041472
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,141569.900,141569.900,423636992,437403648,424554496,504041472
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,137030.400,137030.400,424554496,438112256,425263104,504041472
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,136027.900,136027.900,425263104,438124544,425275392,504041472
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,138162.100,138162.100,425275392,438882304,426033152,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,157749.000,157749.000,426033152,426024960,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,166972.800,166972.800,426024960,426819584,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,174795.900,174795.900,426819584,426819584,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,213698.400,213698.400,426819584,426823680,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,167009.700,167009.700,426823680,427614208,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,176841.000,176841.000,427614208,426565632,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,161002.000,161002.000,426565632,426561536,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,166641.300,166641.300,426561536,426041344,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,203727.900,203727.900,426041344,426037248,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,186408.600,186408.600,426037248,426827776,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,190128.200,190128.200,426827776,426840064,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,181987.900,181987.900,426840064,427642880,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,12,1,188941.300,188941.300,427642880,427376640,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,13,1,201552.300,201552.300,427380736,427380736,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,14,1,159945.900,159945.900,427384832,427388928,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,15,1,163244.500,163244.500,427393024,426045440,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,16,1,167776.900,167776.900,426045440,426053632,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,17,1,160813.900,160813.900,426053632,426852352,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,18,1,160920.900,160920.900,426852352,426852352,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,19,1,195387.300,195387.300,426852352,426844160,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,0,3,22566.900,7522.300,440717312,440745984,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,1,3,22519.300,7506.433,440745984,440750080,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,2,3,22592.100,7530.700,440750080,440750080,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,3,3,22852.100,7617.367,440750080,440750080,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,4,3,22841.100,7613.700,440750080,440754176,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,5,3,22824.100,7608.033,440754176,440754176,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,6,3,23066.600,7688.867,440754176,440754176,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,7,3,22098.000,7366.000,440754176,440754176,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,8,3,22169.700,7389.900,440754176,440758272,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,9,3,22306.400,7435.467,440758272,440758272,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,10,3,22156.900,7385.633,440758272,440758272,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,11,3,22147.700,7382.567,440758272,440758272,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,12,3,22183.100,7394.367,440758272,440758272,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,13,3,22191.700,7397.233,440758272,440758272,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,14,3,22216.100,7405.367,440758272,440762368,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,15,3,22314.100,7438.033,440762368,440766464,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,16,3,22233.700,7411.233,440766464,440766464,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,17,3,22269.000,7423.000,440766464,440770560,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,18,3,22192.900,7397.633,440770560,440774656,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,19,3,22277.400,7425.800,440774656,440774656,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,11181.700,1597.386,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,11168.800,1595.543,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,11249.200,1607.029,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,11166.200,1595.171,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,11165.400,1595.057,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,5,7,11137.600,1591.086,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,6,7,11221.100,1603.014,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,7,7,11153.700,1593.386,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,8,7,11161.700,1594.529,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,9,7,11183.700,1597.671,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,10,7,11182.800,1597.543,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,11,7,11200.600,1600.086,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,12,7,11189.000,1598.429,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,13,7,11204.400,1600.629,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,14,7,11172.800,1596.114,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,15,7,11170.600,1595.800,440946688,440946688,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,16,7,11179.400,1597.057,440950784,440950784,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,17,7,11207.800,1601.114,440950784,440950784,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,18,7,11183.900,1597.700,440950784,440950784,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,19,7,11166.700,1595.243,440950784,440950784,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,0,13,38585.000,2968.077,440954880,440954880,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,1,13,38730.900,2979.300,440954880,440954880,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,2,13,38735.600,2979.662,440954880,440954880,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,3,13,39156.700,3012.054,440954880,440954880,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,4,13,38523.800,2963.369,440954880,440954880,unavailable,504041472
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,5,13,38642.700,2972.515,440954880,440954880,unavailable,504041472
