engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2913890.000,2913890.000,4710400,116985856,113860608,127574016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23628.700,23628.700,113889280,117813248,116146176,127574016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23399.700,23399.700,116146176,117256192,115871744,127574016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,22818.200,22818.200,115871744,117329920,117329920,127574016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,22604.100,22604.100,117334016,117342208,117342208,127574016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,23101.100,23101.100,113901568,117268480,117268480,127574016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23129.800,23129.800,113872896,117207040,117207040,127574016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,22844.300,22844.300,117207040,117243904,117243904,127574016
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22619.400,22619.400,117243904,117268480,113938432,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23398.500,23398.500,113938432,113872896,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23567.900,23567.900,113872896,114016256,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23674.700,23674.700,114016256,113930240,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,25639.300,25639.300,113934336,113975296,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,24685.900,24685.900,113975296,113971200,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,24174.400,24174.400,113971200,114032640,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,24245.700,24245.700,114077696,113975296,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,25772.000,25772.000,113979392,114032640,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,24056.800,24056.800,114036736,114036736,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,24467.600,24467.600,114036736,114061312,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,24087.600,24087.600,114065408,113991680,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,24144.800,24144.800,113991680,114081792,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,25431.000,25431.000,114085888,114065408,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,24152.100,24152.100,114065408,114065408,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,25873.100,25873.100,114069504,117460992,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,23450.800,23450.800,117460992,114024448,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,24196.400,24196.400,114028544,117477376,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,23660.900,23660.900,117481472,114130944,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,24234.900,24234.900,114130944,117456896,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,25295.800,25295.800,117460992,114130944,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,24329.200,24329.200,114130944,117518336,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,24877.500,24877.500,117522432,114163712,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,24217.800,24217.800,114163712,114200576,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,24512.600,24512.600,114200576,114241536,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,24088.400,24088.400,114339840,114126848,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,23896.300,23896.300,114130944,114208768,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,23753.000,23753.000,114212864,114143232,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,24520.700,24520.700,114208768,114266112,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,24378.000,24378.000,114266112,114401280,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,23922.700,23922.700,114401280,117714944,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,23650.700,23650.700,117714944,114331648,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,24077.200,24077.200,114331648,117706752,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,23238.400,23238.400,117706752,117764096,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,23201.100,23201.100,117764096,114495488,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,23546.100,23546.100,114495488,117747712,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,23199.800,23199.800,117747712,117764096,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,22690.400,22690.400,117764096,117760000,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,22782.100,22782.100,117764096,117772288,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,38,1,22857.300,22857.300,117772288,117764096,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,39,1,22823.500,22823.500,117764096,117764096,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,40,1,22824.400,22824.400,117764096,117776384,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,41,1,22887.400,22887.400,117776384,117768192,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,42,1,23124.400,23124.400,114491392,117710848,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,43,1,22818.000,22818.000,117710848,117772288,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,44,1,23879.600,23879.600,117772288,117772288,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,45,1,22855.400,22855.400,117772288,114634752,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,46,1,24724.200,24724.200,114634752,117780480,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,47,1,22458.900,22458.900,117780480,117805056,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,48,1,22627.400,22627.400,117805056,117805056,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,49,1,22628.300,22628.300,117805056,117805056,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,50,1,22849.400,22849.400,117805056,117800960,unavailable,127574016
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,51,1,22650.900,22650.900,117800960,117805056,unavailable,127574016
