"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","290.600","308.608","328.538","328.538","15876096","16306176"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1191.860","1221.330","1238.660","1238.660","16584704","17674240"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.633","13.933","27.633","27.633","12451840","14262272"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.300","15.300","34.600","34.600","12402688","14188544"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","671.480","706.853","729.942","729.942","17489920","17674240"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","168.750","183.600","190.150","190.150","13418496","14274560"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","836.100","855.220","903.210","903.210","16486400","17674240"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","25157.100","47971.400","67853.500","67853.500","11128832","14188544"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","22578.900","50451.500","50451.500","50451.500","11501568","14000128"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","282.308","294.108","308.532","308.532","120905728","127639552"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","4179.690","4490.470","4935.300","4935.300","122421248","127639552"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","38.867","40.500","41.333","41.333","119234560","127639552"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","57.950","60.050","73.600","73.600","118923264","127639552"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","480.227","495.822","507.869","507.869","121704448","127639552"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","61.188","70.487","85.238","85.238","120094720","127639552"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","4366.800","4583.710","4744.330","4744.330","123977728","127639552"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23259.400","24047.200","24898.300","24898.300","114819072","127639552"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23470.400","2899674.900","2899674.900","2899674.900","117252096","127639552"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","181.674","207.362","211.269","211.269","441528320","504279040"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","211605.200","220159.800","239031.700","239031.700","428654592","504279040"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","165794.500","1145107.800","1145107.800","1145107.800","436441088","504279040"
