engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2899674.900,2899674.900,4714496,117092352,113950720,127639552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23404.600,23404.600,113995776,117252096,117252096,127639552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23065.100,23065.100,117252096,117907456,116256768,127639552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23509.500,23509.500,116256768,116797440,116797440,127639552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23214.100,23214.100,116801536,117129216,117129216,127639552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,23563.200,23563.200,117129216,117252096,117252096,127639552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23384.800,23384.800,117252096,117231616,117231616,127639552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,23601.900,23601.900,117231616,117415936,117415936,127639552
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,23470.400,23470.400,117415936,118091776,118091776,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23809.900,23809.900,118091776,117465088,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23825.000,23825.000,117465088,116244480,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,23912.700,23912.700,116244480,117678080,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23272.800,23272.800,117678080,113946624,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23499.600,23499.600,113950720,117383168,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,23049.500,23049.500,117383168,113983488,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,23489.500,23489.500,114057216,117030912,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,23268.100,23268.100,117030912,114020352,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,23862.400,23862.400,114024448,117456896,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,23398.000,23398.000,117456896,114028544,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,24009.900,24009.900,114032640,117456896,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,23978.400,23978.400,117456896,114073600,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,23370.300,23370.300,114077696,116985856,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,23212.700,23212.700,116985856,114081792,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,23354.300,23354.300,114085888,117485568,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,23127.700,23127.700,117485568,114114560,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,23451.000,23451.000,114114560,114061312,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,24297.300,24297.300,114061312,114110464,unavailable,127639552
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,23453.500,23453.500,114110464,114114560,unavailable,127639552
