engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,1145107.800,1145107.800,10264576,429551616,416796672,504279040
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,164805.700,164805.700,416866304,433135616,420286464,504279040
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,164740.900,164740.900,420286464,434188288,421339136,504279040
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,165794.500,165794.500,421339136,435519488,422670336,504279040
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,161946.900,161946.900,422670336,436441088,423596032,504279040
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,182925.500,182925.500,423596032,436985856,424136704,504279040
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,182993.200,182993.200,424136704,437026816,424181760,504279040
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,171928.100,171928.100,424181760,437080064,424230912,504279040
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,162410.100,162410.100,424230912,437186560,424341504,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,208690.900,208690.900,424345600,424349696,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,216785.600,216785.600,424349696,425095168,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,205267.600,205267.600,425095168,425095168,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,205798.300,205798.300,425095168,425627648,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,217692.000,217692.000,425627648,425820160,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,220159.800,220159.800,425820160,425820160,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,212009.500,212009.500,425820160,425824256,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,7,1,203427.100,203427.100,425824256,425816064,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,8,1,209707.000,209707.000,425816064,426618880,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,9,1,212662.700,212662.700,426618880,426618880,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,10,1,224183.300,224183.300,426618880,427413504,unavailable,504279040
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,11,1,212746.200,212746.200,427413504,427548672,unavailable,504279040
