event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5271552,5,794624,0.8,5271552,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6307840,6,1019904,1,6307840,6,5749,0,9233,0,,,""
2,"m47:phase:after_setup",6541312,6.2,1019904,1,6541312,6.2,7327,0,9233,0,,,""
3,"m47:phase:after_initialize",6549504,6.2,1019904,1,6549504,6.2,7405,0,9233,0,,,""
4,"m47:phase:after_deploy",14995456,14.3,5947392,5.7,508694528,485.1,8887,0,435287742,415.1,,,""
5,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",15609856,14.9,6033408,5.8,508694528,485.1,452461,0.4,435287742,415.1,,,""
6,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",19091456,18.2,9539584,9.1,508694528,485.1,3920352,3.7,435287742,415.1,,,""
7,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",19091456,18.2,9580544,9.1,508694528,485.1,3920556,3.7,435287742,415.1,,,""
8,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",22687744,21.6,13180928,12.6,508694528,485.1,7513029,7.2,435287742,415.1,,,""
9,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",95555584,91.1,74878976,71.4,508694528,485.1,54411014,51.9,435287742,415.1,,,""
10,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=125487:lookup_records=127144",153923584,146.8,117428224,112,508694528,485.1,88166292,84.1,435287742,415.1,,,""
11,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",153927680,146.8,117428224,112,508694528,485.1,88166470,84.1,435287742,415.1,,,""
12,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",223596544,213.2,186523648,177.9,508694528,485.1,133712404,127.5,435287742,415.1,,,""
13,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",151625728,144.6,134512640,128.3,508694528,485.1,83156101,79.3,435287742,415.1,,,""
14,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",185925632,177.3,169390080,161.5,508694528,485.1,121626147,116,435287742,415.1,,,""
15,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",159715328,152.3,141000704,134.5,508694528,485.1,87923420,83.9,435287742,415.1,,,""
16,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin:before_dictionary_load",159813632,152.4,141017088,134.5,508694528,485.1,87924366,83.9,435287742,415.1,,,""
17,"m47:compiled_dictionary:luna_pinyin:after_table_byte_source_open:table_bytes=4640486",160702464,153.3,141922304,135.3,508694528,485.1,88818265,84.7,435287742,415.1,,,""
18,"m47:compiled_dictionary:luna_pinyin:after_prism_byte_source_open:prism_bytes=1497453",160702464,153.3,141926400,135.4,508694528,485.1,88818469,84.7,435287742,415.1,,,""
19,"m47:compiled_dictionary:luna_pinyin:after_reverse_bytes_read:reverse_bytes=1263091",161968128,154.5,143192064,136.6,508694528,485.1,90081508,85.9,435287742,415.1,,,""
20,"m47:compiled_dictionary:luna_pinyin:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",169254912,161.4,148545536,141.7,508694528,485.1,98084623,93.5,435287742,415.1,,,""
21,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=62158:lookup_records=70805",190763008,181.9,167436288,159.7,508694528,485.1,119553253,114,435287742,415.1,,,""
22,"m47:compiled_dictionary:luna_pinyin:after_table_dictionary_parse:lookup_texts=62158:lookup_records=70805",190763008,181.9,167436288,159.7,508694528,485.1,118892225,113.4,435287742,415.1,,,""
23,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin:after_dictionary_load",179388416,171.1,162177024,154.7,508694528,485.1,111812206,106.6,435287742,415.1,,,""
24,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin:after_translator_index_build",181985280,173.6,164122624,156.5,508694528,485.1,114028557,108.7,435287742,415.1,,,""
