event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5271552,5,790528,0.8,5271552,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6393856,6.1,1036288,1,6393856,6.1,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6594560,6.3,1036288,1,6594560,6.3,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6602752,6.3,1036288,1,6602752,6.3,7405,0,26489,0,,,""
4,"m47:phase:after_deploy",11128832,10.6,2482176,2.4,83820544,79.9,8056,0,62833086,59.9,,,""
5,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12398592,11.8,3190784,3,83820544,79.9,408341,0.4,62833086,59.9,,,""
6,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",15880192,15.1,6701056,6.4,83820544,79.9,3876238,3.7,62833086,59.9,,,""
7,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",15880192,15.1,6737920,6.4,83820544,79.9,3876442,3.7,62833086,59.9,,,""
8,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19476480,18.6,10338304,9.9,83820544,79.9,7468915,7.1,62833086,59.9,,,""
9,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",92831744,88.5,65699840,62.7,92831744,88.5,54366900,51.8,62833086,59.9,,,""
10,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=125487:lookup_records=127144",151494656,144.5,114573312,109.3,151494656,144.5,88122178,84,88122178,84,,,""
11,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",151498752,144.5,114573312,109.3,151498752,144.5,88122356,84,88122356,84,,,""
12,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",221372416,211.1,183607296,175.1,227831808,217.3,133668290,127.5,141830858,135.3,,,""
13,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",129589248,123.6,108990464,103.9,227831808,217.3,83111981,79.3,141830858,135.3,,,""
14,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",181923840,173.5,163426304,155.9,227831808,217.3,121582027,115.9,141830858,135.3,,,""
15,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",137293824,130.9,117133312,111.7,227831808,217.3,87879300,83.8,141830858,135.3,,,""
16,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",137412608,131,117174272,111.7,227831808,217.3,87880609,83.8,141830858,135.3,,,""
17,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",137412608,131,117182464,111.8,227831808,217.3,87883376,83.8,141830858,135.3,,,""
18,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",137412608,131,117182464,111.8,227831808,217.3,87883580,83.8,141830858,135.3,,,""
19,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",138678272,132.3,118448128,113,227831808,217.3,89146619,85,141830858,135.3,,,""
