event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5378048,5.1,794624,0.8,5378048,5.1,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6680576,6.4,1036288,1,6680576,6.4,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6889472,6.6,1036288,1,6889472,6.6,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6897664,6.6,1036288,1,6897664,6.6,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6901760,6.6,1036288,1,6901760,6.6,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7405568,7.1,1073152,1,7405568,7.1,8144,0,61468,0.1,,,""
6,"m47:deploy:workspace_update:start",7413760,7.1,1073152,1,7413760,7.1,8177,0,61468,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",8249344,7.9,1146880,1.1,8368128,8,8225,0,391726,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",8265728,7.9,1146880,1.1,8368128,8,8277,0,391726,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8503296,8.1,1294336,1.2,8593408,8.2,112543,0.1,391726,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",11325440,10.8,3878912,3.7,11325440,10.8,1750242,1.7,1786506,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",11390976,10.9,3878912,3.7,11390976,10.9,1750394,1.7,1786506,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11284480,10.8,3563520,3.4,11792384,11.2,1750500,1.7,2336868,2.2,,,""
13,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",24399872,23.3,9293824,8.9,24399872,23.3,7371019,7,7371155,7,,,""
