event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5283840,5,786432,0.8,5283840,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6639616,6.3,1028096,1,6639616,6.3,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6848512,6.5,1028096,1,6848512,6.5,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6856704,6.5,1028096,1,6856704,6.5,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6860800,6.5,1028096,1,6860800,6.5,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7376896,7,999424,1,7376896,7,8144,0,61468,0.1,,,""
6,"m47:deploy:workspace_update:start",7385088,7,999424,1,7385088,7,8177,0,61468,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",8192000,7.8,1286144,1.2,8331264,7.9,8225,0,391726,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",8208384,7.8,1286144,1.2,8331264,7.9,8277,0,391726,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8470528,8.1,1306624,1.2,8552448,8.2,112543,0.1,391726,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",11100160,10.6,3485696,3.3,11100160,10.6,1750242,1.7,1786506,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",11165696,10.6,3485696,3.3,11165696,10.6,1750394,1.7,1786506,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11169792,10.7,3481600,3.3,11677696,11.1,1750500,1.7,2336868,2.2,,,""
