"profile","category","estimated_bytes","item_count","row_count"
"comments_intact_keyboard","heap_owned","4195278","114656","9"
"comments_intact_keyboard","mmap_file_backed","34602818","2855234","4"
"comments_intact_keyboard","shared_or_overlapping","34292637","508574","4"
"comments_intact_keyboard","overlap_estimate","1987","1","1"
"comments_intact_keyboard","other","0","0","5"
"full_mobile","heap_owned","4856616","134631","15"
"full_mobile","mmap_file_backed","40740505","3122698","8"
"full_mobile","shared_or_overlapping","40525721","720991","7"
"full_mobile","overlap_estimate","1987","1","1"
"full_mobile","other","0","0","10"
