"profile","event_index","phase","working_set_mb","private_mb","peak_working_set_mb","allocator_live_mb","allocator_high_water_mb"
"comments_intact_keyboard","27","m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382","20.7","6.5","87.1","3.7","59.9"
"comments_intact_keyboard","30","m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0","47.8","23.7","87.1","16.4","59.9"
"comments_intact_keyboard","31","m47:compiled_dictionary:jyut6ping3:after_reverse_advanced_merge_drop","31.4","6.7","87.1","3.7","59.9"
"comments_intact_keyboard","32","m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144","42.3","6.7","87.1","3.7","59.9"
"comments_intact_keyboard","33","m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144","47.1","11.8","87.1","8.5","59.9"
"comments_intact_keyboard","34","m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse","63.2","26","87.1","19.7","59.9"
"comments_intact_keyboard","36","m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653","65.8","27.9","87.1","20.9","59.9"
"comments_intact_keyboard","40","m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_byte_backed_dictionary_load:lookup_texts=125487:lookup_records=127144","89.7","40.4","94.5","32.6","59.9"
"comments_intact_keyboard","41","m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_filter_install","89.7","40.4","94.5","32.6","59.9"
"comments_intact_keyboard","42","m47:phase:after_create_session","82.3","32.5","94.5","25.6","59.9"
"comments_intact_keyboard","43","m47:phase:after_select_schema","82.5","33.4","94.5","25.6","59.9"
"full_mobile","27","m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382","16.5","6.6","81","3.7","59.9"
"full_mobile","30","m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0","43.6","24","81","16.4","59.9"
"full_mobile","31","m47:compiled_dictionary:jyut6ping3:after_reverse_advanced_merge_drop","27.4","7.7","81","3.7","59.9"
"full_mobile","32","m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144","38.3","7.7","81","3.7","59.9"
"full_mobile","33","m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144","43.1","13.3","81","8.5","59.9"
"full_mobile","34","m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse","59.3","26.1","81","19.7","59.9"
"full_mobile","36","m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653","62.8","29.1","81","20.9","59.9"
"full_mobile","39","m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555","63.5","29.1","81","21","59.9"
"full_mobile","42","m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0","70.8","35.7","81","26.9","59.9"
"full_mobile","43","m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_advanced_merge_drop","63.8","29.6","81","21","59.9"
"full_mobile","44","m47:compact_table:after_lookup_record_payload_skip:lookup_texts=62158:lookup_records=70807","67.7","29.6","81","21","59.9"
"full_mobile","45","m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807","70","32","81","23.4","59.9"
"full_mobile","46","m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse","73.5","34","81","26.7","59.9"
"full_mobile","48","m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975","75.2","36.1","81","27.7","59.9"
"full_mobile","51","m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_byte_backed_dictionary_load:lookup_texts=125487:lookup_records=127144","99","48.1","103.7","39.3","59.9"
"full_mobile","52","m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_filter_install","99","48.1","103.7","39.3","59.9"
"full_mobile","53","m47:phase:after_create_session","92.3","41.3","103.7","32.3","59.9"
"full_mobile","54","m47:phase:after_select_schema","92.4","41.3","103.7","32.3","59.9"
