event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5267456,5,786432,0.8,5267456,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6406144,6.1,1028096,1,6406144,6.1,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6598656,6.3,1028096,1,6598656,6.3,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6610944,6.3,1028096,1,6610944,6.3,7405,0,26489,0,,,""
4,"m47:phase:after_deploy",11259904,10.7,2519040,2.4,83779584,79.9,8056,0,62833086,59.9,,,""
5,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12365824,11.8,3186688,3,83779584,79.9,408379,0.4,62833086,59.9,,,""
6,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",15859712,15.1,6696960,6.4,83779584,79.9,3876276,3.7,62833086,59.9,,,""
7,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",15859712,15.1,6733824,6.4,83779584,79.9,3876480,3.7,62833086,59.9,,,""
8,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19456000,18.6,10334208,9.9,83779584,79.9,7468953,7.1,62833086,59.9,,,""
9,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",92905472,88.6,65748992,62.7,92905472,88.6,54366938,51.8,62833086,59.9,,,""
10,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=125487:lookup_records=127144",151470080,144.5,114589696,109.3,151470080,144.5,88122216,84,88122216,84,,,""
11,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",151470080,144.5,114589696,109.3,151470080,144.5,88122394,84,88122394,84,,,""
12,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",221343744,211.1,183590912,175.1,227811328,217.3,133668328,127.5,141830896,135.3,,,""
13,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",129769472,123.8,110268416,105.2,227811328,217.3,83112019,79.3,141830896,135.3,,,""
14,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",181997568,173.6,163627008,156,227811328,217.3,121582065,115.9,141830896,135.3,,,""
15,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",137048064,130.7,116211712,110.8,227811328,217.3,87879338,83.8,141830896,135.3,,,""
16,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",137162752,130.8,116240384,110.9,227811328,217.3,87880647,83.8,141830896,135.3,,,""
17,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",137162752,130.8,116248576,110.9,227811328,217.3,87883414,83.8,141830896,135.3,,,""
18,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",137162752,130.8,116248576,110.9,227811328,217.3,87883618,83.8,141830896,135.3,,,""
19,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",138428416,132,117514240,112.1,227811328,217.3,89146657,85,141830896,135.3,,,""
20,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",148561920,141.7,127152128,121.3,227811328,217.3,97149772,92.6,141830896,135.3,,,""
21,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=62158:lookup_records=70807",172302336,164.3,146948096,140.1,227811328,217.3,111836564,106.7,141830896,135.3,,,""
22,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",172302336,164.3,146948096,140.1,227811328,217.3,111836742,106.7,141830896,135.3,,,""
23,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",200118272,190.8,175505408,167.4,227811328,217.3,130035718,124,141830896,135.3,,,""
24,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",173801472,165.8,152547328,145.5,227811328,217.3,109160381,104.1,141830896,135.3,,,""
25,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",190754816,181.9,168652800,160.8,227811328,217.3,124848157,119.1,141830896,135.3,,,""
26,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",176541696,168.4,154562560,147.4,227811328,217.3,110199259,105.1,141830896,135.3,,,""
27,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:skip_dictionary_load:load_lookup_records=false",176738304,168.6,154824704,147.7,227811328,217.3,110200100,105.1,141830896,135.3,,,""
28,"m47:phase:after_create_session",176918528,168.7,154832896,147.7,227811328,217.3,109983788,104.9,141830896,135.3,,,""
29,"m47:phase:after_select_schema",176963584,168.8,154865664,147.7,227811328,217.3,109983915,104.9,141830896,135.3,,,""
30,"m47:phase:after_typing_neihoumaa",177385472,169.2,154906624,147.7,227811328,217.3,110034509,104.9,141830896,135.3,,,""
31,"m47:phase:steady_after_esc",177385472,169.2,154906624,147.7,227811328,217.3,110033623,104.9,141830896,135.3,,,""
