event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5279744,5,790528,0.8,5279744,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6406144,6.1,1024000,1,6406144,6.1,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6598656,6.3,1024000,1,6598656,6.3,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6610944,6.3,1024000,1,6610944,6.3,7405,0,26489,0,,,""
4,"m47:phase:after_deploy",11018240,10.5,2445312,2.3,83722240,79.8,8056,0,62833086,59.9,,,""
5,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12283904,11.7,3055616,2.9,83722240,79.8,408379,0.4,62833086,59.9,,,""
6,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",15773696,15,6569984,6.3,83722240,79.8,3876276,3.7,62833086,59.9,,,""
7,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",15773696,15,6606848,6.3,83722240,79.8,3876480,3.7,62833086,59.9,,,""
8,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19369984,18.5,10207232,9.7,83722240,79.8,7468953,7.1,62833086,59.9,,,""
9,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",92782592,88.5,65630208,62.6,92782592,88.5,54366938,51.8,62833086,59.9,,,""
10,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=125487:lookup_records=127144",151437312,144.4,114528256,109.2,151437312,144.4,88122216,84,88122216,84,,,""
11,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",151437312,144.4,114528256,109.2,151437312,144.4,88122394,84,88122394,84,,,""
12,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",221315072,211.1,183549952,175,227782656,217.2,133668328,127.5,141830896,135.3,,,""
13,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",129748992,123.7,109219840,104.2,227782656,217.2,83112019,79.3,141830896,135.3,,,""
14,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",181903360,173.5,163532800,156,227782656,217.2,121582065,115.9,141830896,135.3,,,""
15,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",137244672,130.9,116649984,111.2,227782656,217.2,87879338,83.8,141830896,135.3,,,""
16,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",137367552,131,116686848,111.3,227782656,217.2,87880647,83.8,141830896,135.3,,,""
17,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",137367552,131,116695040,111.3,227782656,217.2,87883414,83.8,141830896,135.3,,,""
18,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",137367552,131,116695040,111.3,227782656,217.2,87883618,83.8,141830896,135.3,,,""
19,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",138633216,132.2,117960704,112.5,227782656,217.2,89146657,85,141830896,135.3,,,""
20,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",148447232,141.6,126754816,120.9,227782656,217.2,97149772,92.6,141830896,135.3,,,""
21,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=62158:lookup_records=70807",172384256,164.4,147165184,140.3,227782656,217.2,111836564,106.7,141830896,135.3,,,""
22,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",172384256,164.4,147165184,140.3,227782656,217.2,111836742,106.7,141830896,135.3,,,""
23,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",200179712,190.9,175529984,167.4,227782656,217.2,130035718,124,141830896,135.3,,,""
24,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",174080000,166,152375296,145.3,227782656,217.2,109160381,104.1,141830896,135.3,,,""
25,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",189804544,181,167202816,159.5,227782656,217.2,124848157,119.1,141830896,135.3,,,""
26,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",176553984,168.4,153505792,146.4,227782656,217.2,110199259,105.1,141830896,135.3,,,""
27,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:skip_dictionary_load:load_lookup_records=false",176726016,168.5,153645056,146.5,227782656,217.2,110200100,105.1,141830896,135.3,,,""
28,"m47:phase:after_create_session",176902144,168.7,153673728,146.6,227782656,217.2,109991476,104.9,141830896,135.3,,,""
29,"m47:phase:after_select_schema",176930816,168.7,153686016,146.6,227782656,217.2,109991603,104.9,141830896,135.3,,,""
30,"m47:phase:after_typing_neihoumaa",177332224,169.1,153706496,146.6,227782656,217.2,110042197,104.9,141830896,135.3,,,""
31,"m47:phase:steady_after_esc",177332224,169.1,153706496,146.6,227782656,217.2,110041311,104.9,141830896,135.3,,,""
