event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5382144,5.1,778240,0.7,5382144,5.1,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6643712,6.3,1011712,1,6643712,6.3,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6844416,6.5,1011712,1,6844416,6.5,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6856704,6.5,1011712,1,6856704,6.5,7405,0,26489,0,,,""
4,"m47:phase:after_deploy",12111872,11.6,2555904,2.4,84721664,80.8,8056,0,62833086,59.9,,,""
5,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",13484032,12.9,3153920,3,84721664,80.8,408379,0.4,62833086,59.9,,,""
6,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",16973824,16.2,6664192,6.4,84721664,80.8,3876276,3.7,62833086,59.9,,,""
7,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",16977920,16.2,6701056,6.4,84721664,80.8,3876480,3.7,62833086,59.9,,,""
8,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",20574208,19.6,10301440,9.8,84721664,80.8,7468953,7.1,62833086,59.9,,,""
9,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",45420544,43.3,25149440,24,84721664,80.8,17211146,16.4,62833086,59.9,,,""
10,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=125487:lookup_records=127144",104034304,99.2,73527296,70.1,104034304,99.2,50966424,48.6,62833086,59.9,,,""
11,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",104034304,99.2,73527296,70.1,104034304,99.2,50966602,48.6,62833086,59.9,,,""
12,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",173973504,165.9,142336000,135.7,180408320,172.1,96512536,92,104675104,99.8,,,""
13,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",102010880,97.3,70938624,67.7,180408320,172.1,45956299,43.8,104675104,99.8,,,""
14,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",154079232,146.9,122515456,116.8,180408320,172.1,84426345,80.5,104675104,99.8,,,""
15,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",109146112,104.1,75468800,72,180408320,172.1,50723618,48.4,104675104,99.8,,,""
16,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",109260800,104.2,75497472,72,180408320,172.1,50724943,48.4,104675104,99.8,,,""
17,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",109260800,104.2,75505664,72,180408320,172.1,50727710,48.4,104675104,99.8,,,""
18,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",109260800,104.2,75505664,72,180408320,172.1,50727914,48.4,104675104,99.8,,,""
19,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",110526464,105.4,76771328,73.2,180408320,172.1,51990953,49.6,104675104,99.8,,,""
20,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",117710848,112.3,83320832,79.5,180408320,172.1,56916156,54.3,104675104,99.8,,,""
21,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=62158:lookup_records=70807",141123584,134.6,103227392,98.4,180408320,172.1,71602948,68.3,104675104,99.8,,,""
22,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",141123584,134.6,103227392,98.4,180408320,172.1,71603126,68.3,104675104,99.8,,,""
23,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",168677376,160.9,131235840,125.2,180408320,172.1,89802102,85.6,104675104,99.8,,,""
24,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",142880768,136.3,107425792,102.4,180408320,172.1,68926837,65.7,104675104,99.8,,,""
25,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",159850496,152.4,122617856,116.9,180408320,172.1,84614613,80.7,104675104,99.8,,,""
26,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",143683584,137,106180608,101.3,180408320,172.1,69965715,66.7,104675104,99.8,,,""
27,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:skip_dictionary_load:load_lookup_records=false",144076800,137.4,106663936,101.7,180408320,172.1,69966572,66.7,104675104,99.8,,,""
28,"m47:phase:after_create_session",144297984,137.6,106668032,101.7,180408320,172.1,69757760,66.5,104675104,99.8,,,""
29,"m47:phase:after_select_schema",144375808,137.7,106680320,101.7,180408320,172.1,69757887,66.5,104675104,99.8,,,""
30,"m47:phase:after_typing_neihoumaa",144838656,138.1,106721280,101.8,180408320,172.1,69808481,66.6,104675104,99.8,,,""
31,"m47:phase:steady_after_esc",144838656,138.1,106721280,101.8,180408320,172.1,69807595,66.6,104675104,99.8,,,""
