event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5267456,5,798720,0.8,5267456,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6402048,6.1,1056768,1,6402048,6.1,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6602752,6.3,1056768,1,6602752,6.3,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6610944,6.3,1056768,1,6610944,6.3,7405,0,26489,0,,,""
4,"m47:phase:after_deploy",11104256,10.6,2498560,2.4,83685376,79.8,8056,0,62833086,59.9,,,""
5,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12394496,11.8,3145728,3,83685376,79.8,408341,0.4,62833086,59.9,,,""
6,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",15876096,15.1,6656000,6.3,83685376,79.8,3876238,3.7,62833086,59.9,,,""
7,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",15876096,15.1,6692864,6.4,83685376,79.8,3876442,3.7,62833086,59.9,,,""
8,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19472384,18.6,10293248,9.8,83685376,79.8,7468915,7.1,62833086,59.9,,,""
9,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",92721152,88.4,65556480,62.5,92721152,88.4,54366900,51.8,62833086,59.9,,,""
10,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=125487:lookup_records=127144",151396352,144.4,114450432,109.1,151396352,144.4,88122178,84,88122178,84,,,""
11,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",151400448,144.4,114450432,109.1,151400448,144.4,88122356,84,88122356,84,,,""
12,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",221204480,211,183394304,174.9,227651584,217.1,133668290,127.5,141830858,135.3,,,""
13,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",130002944,124,109617152,104.5,227651584,217.1,83111981,79.3,141830858,135.3,,,""
14,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",181821440,173.4,163340288,155.8,227651584,217.1,121582027,115.9,141830858,135.3,,,""
15,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",137129984,130.8,116629504,111.2,227651584,217.1,87879300,83.8,141830858,135.3,,,""
16,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",137232384,130.9,116658176,111.3,227651584,217.1,87880609,83.8,141830858,135.3,,,""
17,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",137232384,130.9,116666368,111.3,227651584,217.1,87883376,83.8,141830858,135.3,,,""
18,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",137232384,130.9,116666368,111.3,227651584,217.1,87883580,83.8,141830858,135.3,,,""
19,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",138498048,132.1,117932032,112.5,227651584,217.1,89146619,85,141830858,135.3,,,""
20,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",148508672,141.6,126857216,121,227651584,217.1,97149734,92.6,141830858,135.3,,,""
21,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=62158:lookup_records=70807",172249088,164.3,146915328,140.1,227651584,217.1,111836526,106.7,141830858,135.3,,,""
22,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",172249088,164.3,146915328,140.1,227651584,217.1,111836704,106.7,141830858,135.3,,,""
23,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",200003584,190.7,175366144,167.2,227651584,217.1,130035680,124,141830858,135.3,,,""
24,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",173801472,165.8,152133632,145.1,227651584,217.1,109160343,104.1,141830858,135.3,,,""
25,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",189911040,181.1,167120896,159.4,227651584,217.1,124848119,119.1,141830858,135.3,,,""
26,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",176627712,168.4,154820608,147.6,227651584,217.1,110199221,105.1,141830858,135.3,,,""
27,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:before_dictionary_load",176869376,168.7,155836416,148.6,227651584,217.1,110200014,105.1,141830858,135.3,,,""
28,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_dictionary_load:lookup_texts=125487:lookup_records=127144",240803840,229.6,218730496,208.6,242900992,231.6,169858411,162,172791764,164.8,,,""
29,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_filter_install",240824320,229.7,218730496,208.6,242900992,231.6,169858765,162,172791764,164.8,,,""
30,"m47:phase:after_create_session",233865216,223,211582976,201.8,242900992,231.6,162516694,155,172791764,164.8,,,""
31,"m47:phase:after_select_schema",234303488,223.4,212004864,202.2,242900992,231.6,162516821,155,172791764,164.8,,,""
32,"m47:phase:after_typing_neihoumaa",234754048,223.9,212008960,202.2,242900992,231.6,162572266,155,172791764,164.8,,,""
33,"m47:phase:steady_after_esc",234754048,223.9,212008960,202.2,242900992,231.6,162569857,155,172791764,164.8,,,""
