event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5337088,5.1,794624,0.8,5337088,5.1,4156,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6549504,6.2,1011712,1,6549504,6.2,5707,0,9233,0,,,""
2,"m47:phase:after_setup",6787072,6.5,1011712,1,6787072,6.5,7236,0,9233,0,,,""
3,"m47:phase:after_initialize",6795264,6.5,1011712,1,6795264,6.5,7314,0,9233,0,,,""
4,"m47:deploy_workspace:start",6799360,6.5,1011712,1,6799360,6.5,7367,0,9233,0,,,""
5,"m47:deploy_workspace:after_installation_update",7335936,7,1069056,1,7335936,7,8039,0,61349,0.1,,,""
6,"m47:deploy:workspace_update:start",7344128,7,1069056,1,7344128,7,8072,0,61349,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",8138752,7.8,1134592,1.1,8302592,7.9,8120,0,391516,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",8163328,7.8,1134592,1.1,8302592,7.9,8172,0,391516,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8425472,8,1306624,1.2,8507392,8.1,112424,0.1,391516,0.4,,,""
10,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",16297984,15.5,8667136,8.3,16297984,15.5,7385462,7,7385584,7,,,""
11,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",16433152,15.7,8667136,8.3,16433152,15.7,7385614,7,7386107,7,,,""
12,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",16441344,15.7,8658944,8.3,16441344,15.7,7385720,7,7441966,7.1,,,""
13,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",158736384,151.4,156282880,149,255700992,243.9,98131631,93.6,193059422,184.1,,,""
14,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",13746176,13.1,4706304,4.5,255700992,243.9,1759420,1.7,193059422,184.1,,,""
15,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",13746176,13.1,4706304,4.5,255700992,243.9,1759572,1.7,193059422,184.1,,,""
16,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",13856768,13.2,4878336,4.7,255700992,243.9,1759678,1.7,193059422,184.1,,,""
17,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=true:reverse=false",19554304,18.6,10473472,10,255700992,243.9,7503719,7.2,193059422,184.1,,,""
18,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",19554304,18.6,10473472,10,255700992,243.9,7503871,7.2,193059422,184.1,,,""
19,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",19615744,18.7,10534912,10,255700992,243.9,7503977,7.2,193059422,184.1,,,""
20,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",85803008,81.8,77742080,74.1,255700992,243.9,60035755,57.3,193059422,184.1,,,""
21,"m47:deploy:loengfan:after_staging_metadata:table=false:prism=false:reverse=false",16232448,15.5,6053888,5.8,255700992,243.9,2156683,2.1,193059422,184.1,,,""
22,"m47:deploy:loengfan:after_prebuilt_metadata:table_bytes=0:prism_bytes=0:reverse_bytes=0",16232448,15.5,6053888,5.8,255700992,243.9,2156835,2.1,193059422,184.1,,,""
23,"m47:deploy:loengfan:after_rebuild_plan:table=Rebuilt:prism=Rebuilt:reverse=Rebuilt",16306176,15.6,6238208,5.9,255700992,243.9,2156941,2.1,193059422,184.1,,,""
24,"m47:deploy:loengfan:after_rebuild_execute",95539200,91.1,92876800,88.6,255700992,243.9,61953682,59.1,193059422,184.1,,,""
25,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=true:reverse=false",22417408,21.4,11730944,11.2,255700992,243.9,7505495,7.2,193059422,184.1,,,""
26,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",22417408,21.4,11730944,11.2,255700992,243.9,7505647,7.2,193059422,184.1,,,""
