event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5316608,5.1,794624,0.8,5316608,5.1,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6635520,6.3,1040384,1,6635520,6.3,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6889472,6.6,1040384,1,6889472,6.6,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6897664,6.6,1040384,1,6897664,6.6,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6901760,6.6,1040384,1,6901760,6.6,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7409664,7.1,1077248,1,7409664,7.1,8144,0,61468,0.1,,,""
6,"m47:deploy:workspace_update:start",7417856,7.1,1077248,1,7417856,7.1,8177,0,61468,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",8286208,7.9,1425408,1.4,8388608,8,8225,0,391726,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",8310784,7.9,1425408,1.4,8388608,8,8277,0,391726,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8478720,8.1,1339392,1.3,8609792,8.2,112543,0.1,391726,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",11411456,10.9,3870720,3.7,11411456,10.9,1750242,1.7,1786506,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",11472896,10.9,3870720,3.7,11472896,10.9,1750394,1.7,1786506,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11280384,10.8,3571712,3.4,11812864,11.3,1750500,1.7,2336868,2.2,,,""
13,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",17125376,16.3,9412608,9,17125376,16.3,7371019,7,7371155,7,,,""
14,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",17231872,16.4,9412608,9,17231872,16.4,7371171,7,7371664,7,,,""
15,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",17231872,16.4,9404416,9,17342464,16.5,7371277,7,7551575,7.2,,,""
16,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",84639744,80.7,76591104,73,84639744,80.7,59903055,57.1,62835401,59.9,,,""
17,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",12709888,12.1,2977792,2.8,84717568,80.8,245677,0.2,62835401,59.9,,,""
