event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5402624,5.2,794624,0.8,5402624,5.2,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6750208,6.4,1044480,1,6750208,6.4,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6946816,6.6,1044480,1,6946816,6.6,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6955008,6.6,1044480,1,6955008,6.6,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6959104,6.6,1044480,1,6959104,6.6,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7483392,7.1,1015808,1,7516160,7.2,8142,0,61467,0.1,,,""
6,"m47:deploy:workspace_update:start",7491584,7.1,1015808,1,7516160,7.2,8175,0,61467,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",8339456,8,1421312,1.4,8425472,8,8223,0,391724,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",8364032,8,1421312,1.4,8425472,8,8275,0,391724,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8519680,8.1,1327104,1.3,8663040,8.3,112541,0.1,391724,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",10973184,10.5,4063232,3.9,10973184,10.5,1750259,1.7,1786523,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",11030528,10.5,4063232,3.9,11030528,10.5,1750411,1.7,1786523,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11112448,10.6,3313664,3.2,11542528,11,1750517,1.7,2336885,2.2,,,""
13,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",9682944,9.2,1806336,1.7,11542528,11,243558,0.2,2336885,2.2,,,""
14,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",9682944,9.2,1806336,1.7,11542528,11,243710,0.2,2336885,2.2,,,""
15,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",9744384,9.3,1941504,1.9,11542528,11,243922,0.2,2336885,2.2,,,""
16,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",13213696,12.6,5423104,5.2,13213696,12.6,3710879,3.5,3711011,3.5,,,""
17,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",13213696,12.6,5423104,5.2,13213696,12.6,3712695,3.5,3712863,3.5,,,""
18,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",13258752,12.6,5459968,5.2,13312000,12.7,3712801,3.5,3893099,3.7,,,""
19,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",9641984,9.2,1871872,1.8,13312000,12.7,115967,0.1,3893099,3.7,,,""
20,"m47:deploy_workspace:after_workspace_maintenance",9457664,9,1536000,1.5,13312000,12.7,12555,0,3893099,3.7,,,""
21,"m47:phase:after_deploy",9515008,9.1,1581056,1.5,13312000,12.7,12607,0,3893099,3.7,,,""
22,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12337152,11.8,2887680,2.8,13312000,12.7,412620,0.4,3893099,3.7,,,""
23,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",15831040,15.1,6397952,6.1,15831040,15.1,3880517,3.7,3893099,3.7,,,""
24,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",15835136,15.1,6434816,6.1,15835136,15.1,3880721,3.7,3893099,3.7,,,""
25,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19435520,18.5,10039296,9.6,19435520,18.5,7473194,7.1,7473246,7.1,,,""
26,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",44658688,42.6,24186880,23.1,44658688,42.6,17214555,16.4,17214555,16.4,,,""
27,"m47:compiled_dictionary:jyut6ping3:after_reverse_advanced_merge_drop",27324416,26.1,6303744,6,44720128,42.6,3880955,3.7,17214555,16.4,,,""
28,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144",38846464,37,6303744,6,44720128,42.6,3881115,3.7,17214555,16.4,,,""
29,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=0:lookup_records=0",38846464,37,6303744,6,44720128,42.6,3881293,3.7,17214555,16.4,,,""
30,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",56000512,53.4,20946944,20,65933312,62.9,15672111,14.9,23834679,22.7,,,""
31,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",52531200,50.1,17473536,16.7,65933312,62.9,12204706,11.6,23834679,22.7,,,""
32,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",59039744,56.3,23764992,22.7,65933312,62.9,16919636,16.1,23834679,22.7,,,""
33,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",60321792,57.5,24461312,23.3,65933312,62.9,16975353,16.2,23834679,22.7,,,""
