event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5287936,5,806912,0.8,5287936,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6430720,6.1,1040384,1,6430720,6.1,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6627328,6.3,1040384,1,6627328,6.3,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6635520,6.3,1040384,1,6635520,6.3,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6668288,6.4,1040384,1,6668288,6.4,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7131136,6.8,1019904,1,7155712,6.8,8144,0,61468,0.1,,,""
6,"m47:deploy:workspace_update:start",7139328,6.8,1019904,1,7155712,6.8,8177,0,61468,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7720960,7.4,1126400,1.1,7901184,7.5,8225,0,391726,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7737344,7.4,1126400,1.1,7901184,7.5,8277,0,391726,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",7970816,7.6,1302528,1.2,8065024,7.7,112543,0.1,391726,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",10633216,10.1,3702784,3.5,10719232,10.2,1750261,1.7,1786525,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",10702848,10.2,3702784,3.5,10719232,10.2,1750413,1.7,1786525,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10895360,10.4,4100096,3.9,11255808,10.7,1750519,1.7,2336887,2.2,,,""
13,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",16531456,15.8,9453568,9,16531456,15.8,7371038,7,7371174,7,,,""
14,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",16609280,15.8,9453568,9,16609280,15.8,7371190,7,7371683,7,,,""
15,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",16658432,15.9,9601024,9.2,16723968,15.9,7371296,7,7549322,7.2,,,""
16,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",83935232,80,77148160,73.6,83935232,80,59903074,57.1,62835420,59.9,,,""
17,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",11923456,11.4,3317760,3.2,83955712,80.1,245696,0.2,62835420,59.9,,,""
18,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",11923456,11.4,3317760,3.2,83955712,80.1,245848,0.2,62835420,59.9,,,""
19,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11927552,11.4,3317760,3.2,83955712,80.1,246060,0.2,62835420,59.9,,,""
20,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",15396864,14.7,6795264,6.5,83955712,80.1,3713017,3.5,62835420,59.9,,,""
21,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",15396864,14.7,6795264,6.5,83955712,80.1,3713169,3.5,62835420,59.9,,,""
22,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",15495168,14.8,6942720,6.6,83955712,80.1,3713275,3.5,62835420,59.9,,,""
23,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",11776000,11.2,3305472,3.2,83955712,80.1,116441,0.1,62835420,59.9,,,""
24,"m47:deploy_workspace:after_workspace_maintenance",11694080,11.2,3186688,3,83955712,80.1,13029,0,62835420,59.9,,,""
25,"m47:phase:after_deploy",11730944,11.2,3211264,3.1,83955712,80.1,13081,0,62835420,59.9,,,""
26,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12673024,12.1,3473408,3.3,83955712,80.1,413018,0.4,62835420,59.9,,,""
27,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",16162816,15.4,6983680,6.7,83955712,80.1,3880915,3.7,62835420,59.9,,,""
28,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",16162816,15.4,7024640,6.7,83955712,80.1,3881119,3.7,62835420,59.9,,,""
29,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19759104,18.8,10625024,10.1,83955712,80.1,7473592,7.1,62835420,59.9,,,""
