event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5283840,5,794624,0.8,5283840,5,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6434816,6.1,1040384,1,6434816,6.1,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6631424,6.3,1040384,1,6631424,6.3,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6639616,6.3,1040384,1,6639616,6.3,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6672384,6.4,1040384,1,6672384,6.4,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7131136,6.8,1015808,1,7159808,6.8,8144,0,61468,0.1,,,""
6,"m47:deploy:workspace_update:start",7139328,6.8,1015808,1,7159808,6.8,8177,0,61468,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",7704576,7.3,1241088,1.2,7864320,7.5,8225,0,391726,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",7720960,7.4,1241088,1.2,7864320,7.5,8277,0,391726,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",7970816,7.6,1314816,1.3,8073216,7.7,112543,0.1,391726,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",10522624,10,3457024,3.3,10522624,10,1750261,1.7,1786525,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",10592256,10.1,3457024,3.3,10592256,10.1,1750413,1.7,1786525,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10600448,10.1,3448832,3.3,11112448,10.6,1750519,1.7,2336887,2.2,,,""
13,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",16461824,15.7,9375744,8.9,16461824,15.7,7371038,7,7371174,7,,,""
14,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",16539648,15.8,9375744,8.9,16539648,15.8,7371190,7,7371683,7,,,""
15,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",16547840,15.8,9277440,8.8,16642048,15.9,7371296,7,7549322,7.2,,,""
16,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",83693568,79.8,76816384,73.3,83693568,79.8,59903074,57.1,62835420,59.9,,,""
17,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",11800576,11.3,3063808,2.9,83714048,79.8,245696,0.2,62835420,59.9,,,""
18,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",11800576,11.3,3063808,2.9,83714048,79.8,245848,0.2,62835420,59.9,,,""
19,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11747328,11.2,3887104,3.7,83714048,79.8,246060,0.2,62835420,59.9,,,""
20,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",15216640,14.5,7360512,7,83714048,79.8,3713017,3.5,62835420,59.9,,,""
21,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",15216640,14.5,7360512,7,83714048,79.8,3713169,3.5,62835420,59.9,,,""
22,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",15159296,14.5,6451200,6.2,83714048,79.8,3713275,3.5,62835420,59.9,,,""
23,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",11489280,11,2748416,2.6,83714048,79.8,116441,0.1,62835420,59.9,,,""
24,"m47:deploy_workspace:after_workspace_maintenance",11403264,10.9,2662400,2.5,83714048,79.8,13029,0,62835420,59.9,,,""
25,"m47:phase:after_deploy",11403264,10.9,2662400,2.5,83714048,79.8,13081,0,62835420,59.9,,,""
26,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12513280,11.9,3227648,3.1,83714048,79.8,412988,0.4,62835420,59.9,,,""
27,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",16003072,15.3,6737920,6.4,83714048,79.8,3880885,3.7,62835420,59.9,,,""
28,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",16003072,15.3,6778880,6.5,83714048,79.8,3881089,3.7,62835420,59.9,,,""
29,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19599360,18.7,10379264,9.9,83714048,79.8,7473562,7.1,62835420,59.9,,,""
30,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",44433408,42.4,25149440,24,83714048,79.8,17214923,16.4,62835420,59.9,,,""
31,"m47:compiled_dictionary:jyut6ping3:after_reverse_advanced_merge_drop",27389952,26.1,9232384,8.8,83714048,79.8,3881323,3.7,62835420,59.9,,,""
32,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144",38850560,37.1,9232384,8.8,83714048,79.8,3881483,3.7,62835420,59.9,,,""
33,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=0:lookup_records=0",38858752,37.1,10199040,9.7,83714048,79.8,3884989,3.7,62835420,59.9,,,""
34,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",55754752,53.2,22396928,21.4,83714048,79.8,15675807,14.9,62835420,59.9,,,""
35,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",52285440,49.9,18923520,18,83714048,79.8,12208402,11.6,62835420,59.9,,,""
36,"m47:compact_table:after_storage_backed_normal_codes:index=compact_table_has_code",52297728,49.9,18923520,18,83714048,79.8,12208482,11.6,62835420,59.9,,,""
37,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",52498432,50.1,17498112,16.7,83714048,79.8,12260927,11.7,62835420,59.9,,,""
38,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",52621312,50.2,17698816,16.9,83714048,79.8,12262252,11.7,62835420,59.9,,,""
39,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",52621312,50.2,17707008,16.9,83714048,79.8,12263355,11.7,62835420,59.9,,,""
40,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",52621312,50.2,17707008,16.9,83714048,79.8,12263559,11.7,62835420,59.9,,,""
41,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",53886976,51.4,18972672,18.1,83714048,79.8,13526598,12.9,62835420,59.9,,,""
42,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",61431808,58.6,25956352,24.8,83714048,79.8,18451801,17.6,62835420,59.9,,,""
43,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_advanced_merge_drop",53911552,51.4,18595840,17.7,83714048,79.8,12263793,11.7,62835420,59.9,,,""
44,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=62158:lookup_records=70807",57958400,55.3,18595840,17.7,83714048,79.8,12263953,11.7,62835420,59.9,,,""
45,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",60465152,57.7,21090304,20.1,83714048,79.8,14750499,14.1,62835420,59.9,,,""
46,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",64778240,61.8,25346048,24.2,83714048,79.8,18262845,17.4,62835420,59.9,,,""
47,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",64778240,61.8,25346048,24.2,83714048,79.8,18262334,17.4,62835420,59.9,,,""
48,"m47:compact_table:after_storage_backed_normal_codes:index=compact_table_has_code",64778240,61.8,25346048,24.2,83714048,79.8,18262414,17.4,62835420,59.9,,,""
49,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",64237568,61.3,24248320,23.1,83714048,79.8,18300202,17.5,62835420,59.9,,,""
50,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:before_dictionary_load",64610304,61.6,24961024,23.8,83714048,79.8,18301011,17.5,62835420,59.9,,,""
51,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_byte_backed_dictionary_load:lookup_texts=125487:lookup_records=127144",89247744,85.1,37167104,35.4,94269440,89.9,30448469,29,62835420,59.9,,,""
52,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_filter_install",89260032,85.1,37167104,35.4,94269440,89.9,30448831,29,62835420,59.9,,,""
53,"m47:phase:after_create_session",81629184,77.8,28708864,27.4,94269440,89.9,23114798,22,62835420,59.9,,,""
54,"m47:phase:after_select_schema",82063360,78.3,29315072,28,94269440,89.9,23114925,22,62835420,59.9,,,""
55,"m47:phase:after_typing_neihoumaa",82579456,78.8,29499392,28.1,94269440,89.9,23170370,22.1,62835420,59.9,,,""
56,"m47:phase:steady_after_esc",82579456,78.8,29499392,28.1,94269440,89.9,23164633,22.1,62835420,59.9,,,""
