event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5283840,5,798720,0.8,5283840,5,4156,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6569984,6.3,1011712,1,6569984,6.3,5707,0,9233,0,,,""
2,"m47:phase:after_setup",6803456,6.5,1011712,1,6803456,6.5,7236,0,9233,0,,,""
3,"m47:phase:after_initialize",6811648,6.5,1011712,1,6811648,6.5,7314,0,9233,0,,,""
4,"m47:deploy_workspace:start",6815744,6.5,1011712,1,6815744,6.5,7367,0,9233,0,,,""
5,"m47:deploy_workspace:after_installation_update",7348224,7,1069056,1,7368704,7,8039,0,61349,0.1,,,""
6,"m47:deploy:workspace_update:start",7356416,7,1069056,1,7368704,7,8072,0,61349,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",8237056,7.9,1208320,1.2,8372224,8,8120,0,391516,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",8261632,7.9,1208320,1.2,8372224,8,8172,0,391516,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8454144,8.1,1294336,1.2,8564736,8.2,112424,0.1,391516,0.4,,,""
10,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",23883776,22.8,8880128,8.5,23883776,22.8,7385462,7,7385584,7,,,""
11,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",23883776,22.8,8880128,8.5,23883776,22.8,7385614,7,7386107,7,,,""
12,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",23887872,22.8,8925184,8.5,23887872,22.8,7385720,7,7441966,7.1,,,""
13,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",163536896,156,155066368,147.9,261476352,249.4,98131631,93.6,193059422,184.1,,,""
14,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",20844544,19.9,6328320,6,261476352,249.4,1759420,1.7,193059422,184.1,,,""
15,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",20844544,19.9,6328320,6,261476352,249.4,1759572,1.7,193059422,184.1,,,""
