event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5414912,5.2,794624,0.8,5414912,5.2,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6725632,6.4,1028096,1,6725632,6.4,5749,0,26489,0,,,""
2,"m47:phase:after_setup",6926336,6.6,1028096,1,6926336,6.6,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",6934528,6.6,1028096,1,6934528,6.6,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",6938624,6.6,1028096,1,6938624,6.6,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7569408,7.2,1064960,1,7569408,7.2,8144,0,61468,0.1,,,""
6,"m47:deploy:workspace_update:start",7577600,7.2,1064960,1,7577600,7.2,8177,0,61468,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",8249344,7.9,1155072,1.1,8450048,8.1,8225,0,391726,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",8278016,7.9,1155072,1.1,8450048,8.1,8277,0,391726,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8527872,8.1,1302528,1.2,8663040,8.3,112543,0.1,391726,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",11239424,10.7,3559424,3.4,11239424,10.7,1750242,1.7,1786506,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",11317248,10.8,3559424,3.4,11317248,10.8,1750394,1.7,1786506,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11476992,10.9,4317184,4.1,11804672,11.3,1750500,1.7,2336868,2.2,,,""
13,"m47:deploy:jyut6ping3_scolar:after_staging_metadata:table=false:prism=false:reverse=false",17211392,16.4,9547776,9.1,17211392,16.4,7371019,7,7371155,7,,,""
14,"m47:deploy:jyut6ping3_scolar:after_prebuilt_metadata:table_bytes=12478842:prism_bytes=325:reverse_bytes=89",17281024,16.5,9547776,9.1,17281024,16.5,7371171,7,7371664,7,,,""
15,"m47:deploy:jyut6ping3_scolar:after_rebuild_plan:table=ReusedFresh:prism=Rebuilt:reverse=ReusedFresh",17289216,16.5,9392128,9,17371136,16.6,7371277,7,7551575,7.2,,,""
16,"m47:deploy:jyut6ping3_scolar:after_rebuild_execute",85008384,81.1,76816384,73.3,85008384,81.1,59903055,57.1,62835401,59.9,,,""
17,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",13078528,12.5,4407296,4.2,85082112,81.1,245677,0.2,62835401,59.9,,,""
18,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",13078528,12.5,4407296,4.2,85082112,81.1,245829,0.2,62835401,59.9,,,""
19,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",12861440,12.3,2985984,2.8,85082112,81.1,246041,0.2,62835401,59.9,,,""
20,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",16330752,15.6,6459392,6.2,85082112,81.1,3712998,3.5,62835401,59.9,,,""
21,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",16330752,15.6,6459392,6.2,85082112,81.1,3713150,3.5,62835401,59.9,,,""
22,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",16343040,15.6,6471680,6.2,85082112,81.1,3713256,3.5,62835401,59.9,,,""
23,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",12783616,12.2,2977792,2.8,85082112,81.1,116441,0.1,62835401,59.9,,,""
24,"m47:deploy_workspace:after_workspace_maintenance",12546048,12,2646016,2.5,85082112,81.1,13029,0,62835401,59.9,,,""
25,"m47:phase:after_deploy",12546048,12,2646016,2.5,85082112,81.1,13081,0,62835401,59.9,,,""
26,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",13819904,13.2,3305472,3.2,85082112,81.1,412950,0.4,62835401,59.9,,,""
27,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",17309696,16.5,6815744,6.5,85082112,81.1,3880847,3.7,62835401,59.9,,,""
28,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",17309696,16.5,6852608,6.5,85082112,81.1,3881051,3.7,62835401,59.9,,,""
29,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",20905984,19.9,10452992,10,85082112,81.1,7473524,7.1,62835401,59.9,,,""
30,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",45793280,43.7,25141248,24,85082112,81.1,17214885,16.4,62835401,59.9,,,""
31,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=125487:lookup_records=127144",104259584,99.4,73433088,70,104259584,99.4,50970163,48.6,62835401,59.9,,,""
32,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=125487:lookup_records=127144",104259584,99.4,73433088,70,104259584,99.4,50970341,48.6,62835401,59.9,,,""
33,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",173961216,165.9,142131200,135.5,180387840,172,96519603,92,104682171,99.8,,,""
34,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",102674432,97.9,71454720,68.1,180387840,172,45963366,43.8,104682171,99.8,,,""
35,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",154210304,147.1,122384384,116.7,180387840,172,84433412,80.5,104682171,99.8,,,""
36,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",109846528,104.8,76353536,72.8,180387840,172,50730685,48.4,104682171,99.8,,,""
37,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",109965312,104.9,76386304,72.8,180387840,172,50732010,48.4,104682171,99.8,,,""
38,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",109965312,104.9,76390400,72.9,180387840,172,50733113,48.4,104682171,99.8,,,""
39,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",109965312,104.9,76390400,72.9,180387840,172,50733317,48.4,104682171,99.8,,,""
40,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",111230976,106.1,77656064,74.1,180387840,172,51996356,49.6,104682171,99.8,,,""
41,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",118128640,112.7,83963904,80.1,180387840,172,56921559,54.3,104682171,99.8,,,""
42,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=62158:lookup_records=70807",141340672,134.8,103297024,98.5,180387840,172,71608351,68.3,104682171,99.8,,,""
43,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",141340672,134.8,103297024,98.5,180387840,172,71608529,68.3,104682171,99.8,,,""
44,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",168775680,161,131010560,124.9,180387840,172,89807505,85.6,104682171,99.8,,,""
45,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",143028224,136.4,107098112,102.1,180387840,172,68932240,65.7,104682171,99.8,,,""
46,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",160067584,152.7,123822080,118.1,180387840,172,84620016,80.7,104682171,99.8,,,""
47,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",143814656,137.2,106336256,101.4,180387840,172,69971118,66.7,104682171,99.8,,,""
48,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:before_dictionary_load",144125952,137.4,107229184,102.3,180387840,172,69971927,66.7,104682171,99.8,,,""
49,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_dictionary_load:lookup_texts=125487:lookup_records=127144",210608128,200.9,174043136,166,212660224,202.8,129630324,123.6,132563677,126.4,,,""
50,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_filter_install",210624512,200.9,174043136,166,212660224,202.8,129630678,123.6,132563677,126.4,,,""
51,"m47:phase:after_create_session",203722752,194.3,166899712,159.2,212660224,202.8,122295083,116.6,132563677,126.4,,,""
52,"m47:phase:after_select_schema",204161024,194.7,167424000,159.7,212660224,202.8,122295210,116.6,132563677,126.4,,,""
53,"m47:phase:after_typing_neihoumaa",204713984,195.2,167559168,159.8,212660224,202.8,122350655,116.7,132563677,126.4,,,""
54,"m47:phase:steady_after_esc",204713984,195.2,167559168,159.8,212660224,202.8,122344918,116.7,132563677,126.4,,,""
