event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
0,"m47:phase:baseline_process_start",5414912,5.2,794624,0.8,5414912,5.2,4163,0,9233,0,,,""
1,"m47:phase:after_temp_schema_copy",6819840,6.5,1036288,1,6819840,6.5,5749,0,26489,0,,,""
2,"m47:phase:after_setup",7012352,6.7,1036288,1,7012352,6.7,7327,0,26489,0,,,""
3,"m47:phase:after_initialize",7020544,6.7,1036288,1,7020544,6.7,7405,0,26489,0,,,""
4,"m47:deploy_workspace:start",7024640,6.7,1036288,1,7024640,6.7,7458,0,26489,0,,,""
5,"m47:deploy_workspace:after_installation_update",7503872,7.2,1011712,1,7532544,7.2,8144,0,61468,0.1,,,""
6,"m47:deploy:workspace_update:start",7512064,7.2,1011712,1,7532544,7.2,8177,0,61468,0.1,,,""
7,"m47:deploy:workspace_update:after_default_config",8331264,7.9,1179648,1.1,8441856,8.1,8225,0,391726,0.4,,,""
8,"m47:deploy:workspace_update:after_prebuilt_link_sync",8355840,8,1179648,1.1,8441856,8.1,8277,0,391726,0.4,,,""
9,"m47:deploy:workspace_update:after_schema_list:schema_count=1",8601600,8.2,1302528,1.2,8749056,8.3,112543,0.1,391726,0.4,,,""
10,"m47:deploy:luna_pinyin:after_staging_metadata:table=false:prism=false:reverse=false",11583488,11,3866624,3.7,11583488,11,1750261,1.7,1786525,1.7,,,""
11,"m47:deploy:luna_pinyin:after_prebuilt_metadata:table_bytes=4640486:prism_bytes=1642925:reverse_bytes=1263091",11673600,11.1,3866624,3.7,11673600,11.1,1750413,1.7,1786525,1.7,,,""
12,"m47:deploy:luna_pinyin:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",11436032,10.9,3530752,3.4,11960320,11.4,1750519,1.7,2336887,2.2,,,""
13,"m47:deploy:luna_pinyin_yune_reverse:after_staging_metadata:table=false:prism=false:reverse=false",10166272,9.7,2273280,2.2,11960320,11.4,243560,0.2,2336887,2.2,,,""
14,"m47:deploy:luna_pinyin_yune_reverse:after_prebuilt_metadata:table_bytes=4640555:prism_bytes=1497453:reverse_bytes=1263091",10166272,9.7,2273280,2.2,11960320,11.4,243712,0.2,2336887,2.2,,,""
15,"m47:deploy:luna_pinyin_yune_reverse:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",10207232,9.7,2260992,2.2,11960320,11.4,243924,0.2,2336887,2.2,,,""
16,"m47:deploy:jyut6ping3:after_staging_metadata:table=false:prism=false:reverse=false",13676544,13,5742592,5.5,13676544,13,3710881,3.5,3711013,3.5,,,""
17,"m47:deploy:jyut6ping3:after_prebuilt_metadata:table_bytes=15248382:prism_bytes=19354757:reverse_bytes=3592525",13676544,13,5742592,5.5,13676544,13,3712697,3.5,3712865,3.5,,,""
18,"m47:deploy:jyut6ping3:after_rebuild_plan:table=ReusedFresh:prism=ReusedFresh:reverse=ReusedFresh",13709312,13.1,5758976,5.5,13750272,13.1,3712803,3.5,3893101,3.7,,,""
19,"m47:deploy:workspace_update:after_schema:jyut6ping3_mobile",9965568,9.5,1937408,1.8,13750272,13.1,115969,0.1,3893101,3.7,,,""
20,"m47:deploy_workspace:after_workspace_maintenance",9875456,9.4,1802240,1.7,13750272,13.1,12557,0,3893101,3.7,,,""
21,"m47:phase:after_deploy",9936896,9.5,1851392,1.8,13750272,13.1,12609,0,3893101,3.7,,,""
22,"m47:translator:script_translator@translator:dictionary:jyut6ping3:before_dictionary_load",12705792,12.1,3010560,2.9,13750272,13.1,412622,0.4,3893101,3.7,,,""
23,"m47:compiled_dictionary:jyut6ping3:after_table_byte_source_open:table_bytes=15248382",16195584,15.4,6520832,6.2,16195584,15.4,3880519,3.7,3893101,3.7,,,""
24,"m47:compiled_dictionary:jyut6ping3:after_prism_byte_source_open:prism_bytes=19354757",16195584,15.4,6557696,6.3,16195584,15.4,3880723,3.7,3893101,3.7,,,""
25,"m47:compiled_dictionary:jyut6ping3:after_reverse_bytes_read:reverse_bytes=3592525",19791872,18.9,10162176,9.7,19791872,18.9,7473196,7.1,7473248,7.1,,,""
26,"m47:compiled_dictionary:jyut6ping3:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",44904448,42.8,24297472,23.2,44904448,42.8,17214557,16.4,17214557,16.4,,,""
27,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=125487:lookup_records=127144",56463360,53.8,24297472,23.2,56463360,53.8,17214717,16.4,17214717,16.4,,,""
28,"m47:compiled_dictionary:jyut6ping3:after_table_advanced_payload_parse:lookup_texts=0:lookup_records=0",56463360,53.8,24297472,23.2,56463360,53.8,17214895,16.4,17214895,16.4,,,""
29,"m47:compiled_dictionary:jyut6ping3:after_compact_table_store_parse",73732096,70.3,39591936,37.8,83472384,79.6,29005713,27.7,37168281,35.4,,,""
30,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_dictionary_load",52846592,50.4,17178624,16.4,83472384,79.6,12204592,11.6,37168281,35.4,,,""
31,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=114653",59293696,56.5,24014848,22.9,83472384,79.6,16919522,16.1,37168281,35.4,,,""
32,"m47:translator:script_translator@translator:dictionary:jyut6ping3:after_translator_index_build",60182528,57.4,24408064,23.3,83472384,79.6,16971911,16.2,37168281,35.4,,,""
33,"m47:translator:script_translator@luna_pinyin:skip_translator_load:load_translator=false",60309504,57.5,24408064,23.3,83472384,79.6,16974886,16.2,37168281,35.4,,,""
34,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:skip_dictionary_load:load_lookup_records=false",60416000,57.6,24408064,23.3,83472384,79.6,16975110,16.2,37168281,35.4,,,""
35,"m47:phase:after_create_session",59899904,57.1,23588864,22.5,83472384,79.6,16750481,16,37168281,35.4,,,""
36,"m47:phase:after_select_schema",60280832,57.5,24055808,22.9,83472384,79.6,16750608,16,37168281,35.4,,,""
37,"m47:phase:after_typing_neihoumaa",60964864,58.1,24383488,23.3,83472384,79.6,16801202,16,37168281,35.4,,,""
38,"m47:phase:steady_after_esc",60964864,58.1,24383488,23.3,83472384,79.6,16800316,16,37168281,35.4,,,""
