"engine","track","schema_id","workload","input","samples","operations","median_us","p95_us","p99_us","max_us","median_working_set_bytes","max_peak_working_set_bytes","median_private_bytes","max_peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","288.511","297.635","304.162","304.162","15740928","15896576","5349376","6823936"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","1226.200","1231.300","1351.330","1351.330","16531456","17391616","6668288","7725056"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","11.467","11.833","14.667","14.667","12419072","13856768","5148672","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","20.500","21.900","90.200","90.200","12124160","13643776","4706304","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","14.100","15.100","17.150","17.150","12173312","13832192","4878336","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","674.137","679.695","682.824","682.824","17092608","17391616","6144000","7254016"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","164.725","173.725","219.438","219.438","13344768","13938688","5140480","6823936"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","854.120","857.890","872.610","872.610","15912960","17391616","6049792","7725056"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","27596.100","32464.100","33487.900","33487.900","10530816","13639680","3399680","6586368"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","26748.600","48542.100","48542.100","48542.100","10948608","13459456","3805184","6230016"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","80","2960","2789.897","2825.803","2844.062","2844.062","180060160","188985344","194043904","204906496"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","cszysmsrsd","80","800","549.510","562.010","568.410","568.410","182083584","188985344","196005888","204906496"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","80","240","25.233","26.133","31.333","31.333","177643520","188985344","191643648","204906496"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","n","80","80","71.300","75.400","78.800","78.800","177000448","188985344","190853120","204906496"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","80","160","51.000","53.650","54.250","54.250","177016832","188985344","190853120","204906496"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","4720","5064.307","5086.939","5103.339","5103.339","180789248","188985344","194670592","204906496"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","80","640","62.050","63.237","64.175","64.175","178876416","188985344","193298432","204906496"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zybfshmsru","80","800","551.810","561.520","665.640","665.640","183549952","188985344","197558272","204906496"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","60","60","23010.600","23932.700","24148.600","24148.600","176009216","188985344","190058496","204906496"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","9","9","23168.100","2893359.500","2893359.500","2893359.500","175329280","188985344","189878272","204906496"
"yune","track-b-product","jyut6ping3_mobile","key_sequence_process_with_context","neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung","80","4880","344.015","348.198","352.562","352.562","253435904","504344576","181850112","536449024"
"yune","track-b-product","jyut6ping3_mobile","session_create_select_destroy","","60","60","90684.800","91762.600","92499.000","92499.000","224387072","504344576","176824320","536449024"
"yune","track-b-product","jyut6ping3_mobile","startup_warm_shared_assets_runtime_ready","","9","9","90345.400","556335.700","556335.700","556335.700","252993536","504344576","181850112","536449024"
