engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,288.511,297.635,304.162,304.162,15740928,15896576,5349376,6823936
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,80,800,1226.200,1231.300,1351.330,1351.330,16531456,17391616,6668288,7725056
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,80,240,11.467,11.833,14.667,14.667,12419072,13856768,5148672,6586368
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,80,80,20.500,21.900,90.200,90.200,12124160,13643776,4706304,6586368
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,80,160,14.100,15.100,17.150,17.150,12173312,13832192,4878336,6586368
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,4720,674.137,679.695,682.824,682.824,17092608,17391616,6144000,7254016
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,80,640,164.725,173.725,219.438,219.438,13344768,13938688,5140480,6823936
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,80,800,854.120,857.890,872.610,872.610,15912960,17391616,6049792,7725056
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,60,60,27596.100,32464.100,33487.900,33487.900,10530816,13639680,3399680,6586368
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,9,9,26748.600,48542.100,48542.100,48542.100,10948608,13459456,3805184,6230016
