engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2893359.500,2893359.500,4128768,173350912,173408256,188985344,684032,188243968,188243968,188243968,188243968,204906496
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,22503.900,22503.900,173412352,175259648,174014464,188985344,188243968,189878272,188293120,189878272,189878272,204906496
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,22688.700,22688.700,174014464,175308800,174063616,188985344,188293120,189878272,188293120,189878272,189878272,204906496
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,24264.200,24264.200,174063616,175316992,174067712,188985344,188293120,189878272,188293120,189878272,189878272,204906496
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23796.200,23796.200,174067712,175329280,174080000,188985344,188293120,189878272,188293120,189878272,189878272,204906496
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,23382.200,23382.200,174080000,175362048,174112768,188985344,188293120,189878272,188293120,189878272,189878272,204906496
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,23168.100,23168.100,174112768,175370240,174120960,188985344,188293120,189878272,188293120,189878272,189878272,204906496
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,23113.600,23113.600,174120960,175370240,174120960,188985344,188293120,189878272,188293120,189878272,189878272,204906496
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22940.800,22940.800,174120960,175370240,174120960,188985344,188293120,189878272,188293120,189878272,189878272,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,23092.800,23092.800,174120960,174125056,unavailable,188985344,188293120,188293120,unavailable,188293120,188293120,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,23088.600,23088.600,174125056,174120960,unavailable,188985344,188293120,188293120,unavailable,188293120,188293120,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,22967.400,22967.400,174120960,174125056,unavailable,188985344,188293120,188297216,unavailable,188297216,188297216,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,23063.200,23063.200,174125056,174174208,unavailable,188985344,188297216,188477440,unavailable,188477440,188477440,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,23036.400,23036.400,174174208,175607808,unavailable,188985344,188477440,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,22907.500,22907.500,175611904,175742976,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,22880.400,22880.400,175742976,175812608,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,22832.600,22832.600,175812608,175816704,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,22939.400,22939.400,175816704,175816704,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,22972.800,22972.800,175816704,175828992,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,23196.300,23196.300,175828992,175874048,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,22956.000,22956.000,175874048,175878144,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,23932.700,23932.700,175878144,175964160,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,23173.300,23173.300,175964160,175955968,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,23098.200,23098.200,175955968,175951872,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,22997.000,22997.000,175951872,175968256,unavailable,188985344,190058496,190058496,unavailable,190058496,190058496,204906496
