engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,0,1,556335.700,556335.700,9920512,252866560,224350208,504344576,7041024,181817344,176820224,181817344,181817344,536449024
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,1,1,90737.200,90737.200,224378880,252989440,224382976,504344576,176820224,181846016,176824320,181846016,181846016,536449024
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,2,1,90345.400,90345.400,224382976,252993536,224382976,504344576,176824320,181850112,176824320,181850112,181850112,536449024
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,3,1,90169.500,90169.500,224382976,252993536,224382976,504344576,176824320,181850112,176824320,181850112,181850112,536449024
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,4,1,91234.000,91234.000,224382976,252993536,224382976,504344576,176824320,181850112,176824320,181850112,181850112,536449024
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,5,1,90960.300,90960.300,224382976,252993536,224382976,504344576,176824320,181850112,176824320,181850112,181850112,536449024
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,6,1,88878.900,88878.900,224382976,252993536,224382976,504344576,176824320,181850112,176824320,181850112,181850112,536449024
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,7,1,89007.900,89007.900,224382976,252993536,224382976,504344576,176824320,181850112,176824320,181850112,181850112,536449024
yune,track-b-product,jyut6ping3_mobile,startup_warm_shared_assets_runtime_ready,,8,1,88829.800,88829.800,224382976,252993536,224382976,504344576,176824320,181850112,176824320,181850112,181850112,536449024
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,0,1,90269.100,90269.100,224382976,224382976,unavailable,504344576,176824320,176824320,unavailable,176824320,176824320,536449024
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,1,1,90941.900,90941.900,224382976,224382976,unavailable,504344576,176824320,176824320,unavailable,176824320,176824320,536449024
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,2,1,91274.900,91274.900,224382976,224382976,unavailable,504344576,176824320,176824320,unavailable,176824320,176824320,536449024
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,3,1,91623.200,91623.200,224382976,224382976,unavailable,504344576,176824320,176824320,unavailable,176824320,176824320,536449024
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,4,1,91519.400,91519.400,224382976,224382976,unavailable,504344576,176824320,176824320,unavailable,176824320,176824320,536449024
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,5,1,91201.200,91201.200,224382976,224382976,unavailable,504344576,176824320,176824320,unavailable,176824320,176824320,536449024
yune,track-b-product,jyut6ping3_mobile,session_create_select_destroy,,6,1,90528.600,90528.600,224382976,224382976,unavailable,504344576,176824320,176824320,unavailable,176824320,176824320,536449024
