"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","48569.700","48569.700","7004160","10543104","9912320","11595776","1617920","3379200","2842624","3379200","3379200","5632000"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","29954.600","29954.600","9916416","10915840","10100736","13299712","2842624","3719168","2973696","3719168","3719168","6017024"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","29773.800","29773.800","10100736","10960896","10027008","13373440","2973696","3796992","2723840","3796992","3796992","6131712"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","3","1","24358.100","24358.100","10027008","10973184","10072064","13430784","2723840","3813376","2772992","3813376","3813376","6184960"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","4","1","29930.200","29930.200","10072064","10977280","10149888","13430784","2772992","3833856","3219456","3833856","3833856","6193152"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","5","1","29505.000","29505.000","10149888","10977280","10145792","13438976","3219456","3866624","3252224","3866624","3866624","6205440"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","6","1","22951.300","22951.300","10145792","10969088","10170368","13438976","3252224","3788800","3248128","3788800","3788800","6205440"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","7","1","29326.200","29326.200","10170368","10969088","10153984","13438976","3248128","3829760","3231744","3829760","3829760","6205440"
"librime-1.17.0","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","8","1","28835.800","28835.800","10153984","10956800","10100736","13438976","3231744","3809280","3235840","3809280","3809280","6205440"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","31187.500","31187.500","10104832","10334208","unavailable","13438976","3239936","3026944","unavailable","3026944","3026944","6205440"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","31149.400","31149.400","10334208","10346496","unavailable","13443072","3026944","3502080","unavailable","3502080","3502080","6205440"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","25473.200","25473.200","10346496","10362880","unavailable","13447168","3502080","3469312","unavailable","3469312","3469312","6205440"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","25580.500","25580.500","10362880","10338304","unavailable","13447168","3469312","3346432","unavailable","3346432","3346432","6205440"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","27210.700","27210.700","10338304","10297344","unavailable","13447168","3346432","2998272","unavailable","2998272","2998272","6275072"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","31391.200","31391.200","10297344","10346496","unavailable","13447168","2998272","3571712","unavailable","3571712","3571712","6275072"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","28391.200","28391.200","10346496","10391552","unavailable","13467648","3571712","3465216","unavailable","3465216","3465216","6275072"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","23942.900","23942.900","10391552","10321920","unavailable","13467648","3465216","3022848","unavailable","3022848","3022848","6275072"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","8","1","23881.200","23881.200","10330112","10379264","unavailable","13467648","3035136","3219456","unavailable","3219456","3219456","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","9","1","23587.900","23587.900","10379264","10334208","unavailable","13467648","3219456","3035136","unavailable","3035136","3035136","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","10","1","31519.700","31519.700","10334208","10383360","unavailable","13467648","3035136","3391488","unavailable","3391488","3391488","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","11","1","30579.900","30579.900","10383360","10375168","unavailable","13475840","3391488","3076096","unavailable","3076096","3076096","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","12","1","31498.000","31498.000","10375168","10350592","unavailable","13475840","3076096","3584000","unavailable","3584000","3584000","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","13","1","29925.000","29925.000","10354688","10346496","unavailable","13488128","3584000","3387392","unavailable","3387392","3387392","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","14","1","31885.500","31885.500","10346496","10452992","unavailable","13492224","3387392","3424256","unavailable","3424256","3424256","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","15","1","32491.800","32491.800","10452992","10346496","unavailable","13492224","3424256","3325952","unavailable","3325952","3325952","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","16","1","24248.700","24248.700","10346496","10485760","unavailable","13492224","3325952","3194880","unavailable","3194880","3194880","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","17","1","30329.900","30329.900","10485760","10452992","unavailable","13492224","3194880","3457024","unavailable","3457024","3457024","6344704"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","18","1","29173.200","29173.200","10452992","10534912","unavailable","13516800","3457024","3436544","unavailable","3436544","3436544","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","19","1","28172.200","28172.200","10534912","10358784","unavailable","13516800","3436544","3063808","unavailable","3063808","3063808","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","20","1","29820.100","29820.100","10358784","10448896","unavailable","13516800","3063808","3461120","unavailable","3461120","3461120","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","21","1","29449.200","29449.200","10448896","10379264","unavailable","13541376","3461120","3080192","unavailable","3080192","3080192","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","22","1","27224.200","27224.200","10379264","10493952","unavailable","13541376","3080192","3477504","unavailable","3477504","3477504","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","23","1","29211.300","29211.300","10493952","10444800","unavailable","13541376","3477504","3362816","unavailable","3362816","3362816","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","24","1","24912.600","24912.600","10461184","10436608","unavailable","13541376","3391488","3502080","unavailable","3502080","3502080","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","25","1","32013.700","32013.700","10436608","10452992","unavailable","13541376","3502080","3477504","unavailable","3477504","3477504","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","26","1","30592.600","30592.600","10457088","10571776","unavailable","13541376","3477504","3284992","unavailable","3284992","3284992","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","27","1","31018.600","31018.600","10571776","10657792","unavailable","13541376","3284992","3637248","unavailable","3637248","3637248","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","28","1","29574.600","29574.600","10657792","10448896","unavailable","13541376","3637248","3170304","unavailable","3170304","3170304","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","29","1","27418.100","27418.100","10448896","10452992","unavailable","13541376","3170304","3268608","unavailable","3268608","3268608","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","1","24405.800","24405.800","10452992","10448896","unavailable","13541376","3268608","3170304","unavailable","3170304","3170304","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","31","1","25301.400","25301.400","10448896","10600448","unavailable","13541376","3170304","3518464","unavailable","3518464","3518464","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","32","1","31764.000","31764.000","10600448","10588160","unavailable","13541376","3518464","3301376","unavailable","3301376","3301376","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","33","1","32534.100","32534.100","10588160","10514432","unavailable","13541376","3301376","3342336","unavailable","3342336","3342336","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","34","1","29384.000","29384.000","10514432","10600448","unavailable","13541376","3342336","3731456","unavailable","3731456","3731456","6414336"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","35","1","30357.600","30357.600","10604544","10592256","unavailable","13541376","3731456","3444736","unavailable","3444736","3444736","6414336"
