engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,294.551,319.338,348.335,348.335,15663104,15794176,5324800,6660096
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,80,800,1195.190,1213.860,1250.900,1250.900,16228352,17203200,6361088,7712768
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,80,240,11.567,12.233,13.567,13.567,12247040,13860864,4956160,6590464
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,80,80,20.900,22.400,52.500,52.500,12083200,13627392,4792320,6483968
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,80,160,14.550,30.300,58.600,58.600,12267520,13860864,4993024,6590464
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,4720,664.893,681.614,691.085,691.085,16904192,17203200,5996544,7233536
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,80,640,167.862,179.312,181.550,181.550,13295616,13955072,5111808,6660096
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,80,800,840.640,861.880,898.110,898.110,15978496,17203200,6180864,7720960
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,60,60,28730.900,34418.600,98190.100,98190.100,10518528,13627392,3424256,6483968
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,9,9,29505.000,48569.700,48569.700,48569.700,10969088,13438976,3809280,6205440
