engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,2826610.600,2826610.600,4132864,173760512,173879296,188739584,692224,189894656,189894656,189894656,189894656,205529088
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,23973.100,23973.100,173907968,175255552,175259648,188739584,189894656,190726144,190726144,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,23449.600,23449.600,175259648,175337472,175337472,188739584,190726144,190726144,190726144,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,23190.000,23190.000,175337472,175407104,175407104,188739584,190726144,190726144,190726144,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,23435.200,23435.200,175407104,175489024,175489024,188739584,190726144,190726144,190726144,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,22961.800,22961.800,175489024,175493120,175493120,188739584,190726144,190726144,190726144,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,22810.600,22810.600,175493120,175501312,175501312,188739584,190726144,190726144,190726144,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,22732.400,22732.400,175501312,175521792,175521792,188739584,190726144,190726144,190726144,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,22848.400,22848.400,175521792,175517696,175517696,188739584,190726144,190726144,190726144,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,22851.500,22851.500,175517696,175521792,unavailable,188739584,190726144,190730240,unavailable,190730240,190730240,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,1,1,22679.800,22679.800,175521792,175509504,unavailable,188739584,190730240,190730240,unavailable,190730240,190730240,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,2,1,22602.500,22602.500,175509504,175513600,unavailable,188739584,190730240,190730240,unavailable,190730240,190730240,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,3,1,22581.600,22581.600,175513600,175521792,unavailable,188739584,190730240,190730240,unavailable,190730240,190730240,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,4,1,22746.400,22746.400,175521792,175529984,unavailable,188739584,190730240,190730240,unavailable,190730240,190730240,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,5,1,22583.800,22583.800,175529984,175529984,unavailable,188739584,190730240,190730240,unavailable,190730240,190730240,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,6,1,22628.600,22628.600,175529984,175583232,unavailable,188739584,190730240,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,7,1,22640.000,22640.000,175583232,175628288,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,8,1,22516.400,22516.400,175628288,175632384,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,9,1,22517.200,22517.200,175632384,175628288,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,10,1,22514.000,22514.000,175628288,175636480,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,11,1,22528.600,22528.600,175636480,175640576,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,12,1,23759.600,23759.600,175640576,175648768,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,13,1,22776.600,22776.600,175648768,175632384,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,14,1,22795.300,22795.300,175632384,175632384,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,15,1,24328.100,24328.100,175632384,175628288,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,16,1,22847.100,22847.100,175628288,175620096,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,17,1,22936.100,22936.100,175620096,175669248,unavailable,188739584,190754816,190754816,unavailable,190754816,190754816,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,18,1,23271.200,23271.200,175669248,174100480,unavailable,188739584,190754816,189091840,unavailable,189091840,189091840,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,19,1,23270.200,23270.200,174100480,174149632,unavailable,188739584,189091840,189140992,unavailable,189140992,189140992,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,20,1,22915.000,22915.000,174149632,175591424,unavailable,188739584,189140992,190726144,unavailable,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,21,1,22508.700,22508.700,175591424,175644672,unavailable,188739584,190726144,190726144,unavailable,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,22,1,22631.800,22631.800,175644672,175697920,unavailable,188739584,190726144,190726144,unavailable,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,22514.800,22514.800,175697920,175759360,unavailable,188739584,190726144,190726144,unavailable,190726144,190726144,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,22505.200,22505.200,175759360,175771648,unavailable,188739584,190726144,190726144,unavailable,190726144,190726144,205529088
