engine,track,schema_id,workload,input,samples,operations,median_us,p95_us,p99_us,max_us,median_working_set_bytes,max_peak_working_set_bytes,median_private_bytes,max_peak_pagefile_bytes
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,80,2960,860.011,917.708,968.768,968.768,179486720,188739584,194867200,205529088
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,80,800,504.040,580.540,680.820,680.820,181219328,188739584,196198400,205529088
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,80,240,24.867,25.933,35.133,35.133,177430528,188739584,192438272,205529088
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,80,80,59.400,64.400,69.600,69.600,176635904,188739584,191647744,205529088
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ni,80,160,44.800,46.650,47.350,47.350,176701440,188739584,191647744,205529088
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,80,4720,1630.029,1740.985,1872.368,1872.368,180514816,188739584,195571712,205529088
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,80,640,46.300,47.550,47.738,47.738,178434048,188739584,193859584,205529088
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zybfshmsru,80,800,514.120,555.850,694.160,694.160,182722560,188739584,197926912,205529088
yune,track-a-comparison,luna_pinyin,session_create_select_destroy,,60,60,22679.800,24673.100,24854.000,24854.000,175767552,188739584,190726144,205529088
yune,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,9,9,23190.000,2826610.600,2826610.600,2826610.600,175489024,188739584,190726144,205529088
